V1	V2	V3	V4	V5	V6
SARS-COV-2	Human immunodeficiency virus 1 (HIV1)	 43	 336	 904	Q8N766,Q8NBJ5,Q8NEW0,Q96DZ1,Q96I59,Q96IV0,Q99470,Q99996,Q9BS26,Q12907,Q13283,Q13724,Q2T9J0,P07858,P11940,O00469,O14656,O14745,O75534,Q9BZQ6,Q9HD40,Q9UJZ1,Q9UN86,Q9Y4L1,Q9Y5J9,P62877,Q15370,Q15369,O94973,Q96CW1,Q9NQC3,P35658,O00116,Q6Y7W6,P61011,P48556,Q5T6F2,O60885,P19784,Q2PZI1,Q9NQT4,P52948,Q6PKG0
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE HXB3	 13	 336	 128	O94973,P13984,P35658,P37198,P52948,Q8TEM1,P78406,Q15369,Q15370,Q7Z3B4,Q96CW1,Q99567,Q9BVL2
SARS-COV-2	Deltapapillomavirus 4	  1	 336	  46	O60885
SARS-COV-2	Vaccinia virus STRAIN WR	 12	 336	 359	Q7Z7A1,Q9BS26,Q08379,Q66GS9,O14578,Q4G0J3,P13861,Q9UH99,Q9BQS8,Q13283,A7MCY6,Q5VU43
SARS-COV-2	Human herpesvirus 4 (Epstein-Barr virus) STRAIN AG876	 51	 336	1086	Q969X5,P21964,P67870,Q13443,Q2PZI1,P07858,P12109,P19784,O00203,O75964,O95573,Q9BV19,Q9H7F0,Q9UBX5,Q9UL15,Q9ULX6,Q9Y673,Q08379,P05556,P17612,P27105,P33527,P61916,Q3KQU3,Q9H270,Q9NQC3,P28300,Q9NYU1,Q92900,Q9HAV7,P48556,Q5JTV8,P38435,P51148,Q8IV08,Q8NEW0,Q8TD10,Q9NP72,P15151,Q6PML9,Q8NBX0,Q9UJZ1,Q5VU43,O00469,Q96S52,Q8IZ52,Q5T1M5,Q08117,Q9P2E5,Q9HAU0,Q8IUD2
SARS-COV-2	Shigella flexneri	  2	 336	  30	P62820,P61586
SARS-COV-2	Escherichia coli O157:H7	  2	 336	  74	P62330,P62820
SARS-COV-2	Human herpesvirus 5 (Human cytomegalovirus) STRAIN AD169	  3	 336	  65	Q6UUV7,P07858,P11940
SARS-COV-2	Human papillomavirus TYPE 16 (HPV 16)	 30	 336	 708	Q92769,Q969X5,Q96CW1,Q96DZ1,Q96S66,Q13617,Q15369,Q15370,Q5VT06,P05556,O43292,O43823,O60885,Q9H7F0,Q9UBU6,Q9ULX6,P27105,P33527,Q00765,Q8IV08,Q8NEW0,Q96S52,Q9NP72,Q9NQC3,Q9NZJ7,P48556,P09132,P62877,Q08117,Q4G0J3
SARS-COV-2	Human herpesvirus 4 (Epstein-Barr virus) STRAIN B95-8	 53	 336	1121	Q9UBX5,Q9HAV7,Q08117,Q8TD10,Q13546,P19784,Q6UUV7,P05556,Q9ULX6,Q9H270,Q9NQC3,P07858,O00203,P28300,Q9UL15,Q2PZI1,Q8NEW0,P51148,Q9NP72,Q8IV08,P38435,Q969X5,Q13443,O95573,P33527,Q92900,Q3KQU3,P67870,Q9HAU0,P21964,P12109,Q9UJZ1,P27105,Q6PML9,Q8NBX0,P15151,O75964,Q9H7F0,Q9Y673,O00469,Q8IUD2,Q5JTV8,P48556,Q9NYU1,Q9P2E5,Q8IZ52,P17612,P61916,Q08379,Q9BV19,Q5VU43,Q13617,Q5T1M5
SARS-COV-2	Human papillomavirus TYPE 18 (HPV 18)	 33	 336	 664	Q8IZ52,Q969X5,Q9BS26,P21964,Q13443,Q15369,Q4KMQ2,Q5T1M5,P07858,O00203,P05556,O43292,O75964,Q9NQT4,Q9NVH1,Q9UBU6,O00469,P28300,P48556,P27105,P33527,Q13724,Q6PML9,Q8IV08,Q8NEW0,Q8TEQ8,Q96S52,Q9NP72,Q9NQC3,Q9UJZ1,O60885,Q96JC1,Q5VT06
SARS-COV-2	Salmonella enterica SUBSPECIES ENTERICA SEROVAR TYPHIMURIUM STRAIN LT2	  1	 336	  24	P61586
SARS-COV-2	Human adenovirus 12	  2	 336	  28	P13861,P31323
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE BH10	 20	 336	 223	P07858,Q2T9J0,O94973,Q8TEM1,P13984,P35658,P37198,P52948,P62877,P78406,Q15369,Q15370,Q7Z3B4,Q96CW1,Q99567,Q9BVL2,O60885,Q9NR30,Q9ULX6,Q13617
SARS-COV-2	Human herpesvirus 1 STRAIN 17	 15	 336	 598	Q08379,Q15056,Q96F46,P12268,Q92769,Q92552,P37198,P09884,Q9HCE1,P11940,Q9Y3U8,Q9HAV7,Q9NR30,P67870,Q9UHD2
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE ZAIRE 6	 14	 336	 122	O94973,Q8TEM1,P13984,P35658,P37198,P52948,P62877,P78406,Q15369,Q15370,Q7Z3B4,Q96CW1,Q99567,Q9BVL2
SARS-COV-2	Human herpesvirus 2 STRAIN HG52	  1	 336	  14	Q13546
SARS-COV-2	Bacillus anthracis	 54	 336	1746	Q8IV08,O75592,Q8IWJ2,Q9UH99,P61586,Q7Z7A1,P35658,P13861,Q04726,P13984,P11940,O94973,Q08117,Q6PML9,Q4KMQ2,O95391,P51149,Q8TEM1,P61916,Q5VU43,P27448,Q4G0J3,Q6PKG0,P17612,Q2M389,P09601,Q96CN9,O75534,Q96SN8,Q8N8E3,P07711,P07858,Q9ULX6,Q99996,O00116,P11310,Q9NY61,Q13438,Q9BVL2,Q96N16,Q70EL1,Q9NQT5,Q9H270,Q9BU02,Q9UJZ1,Q9H4P4,P51148,Q15056,Q9BSJ2,P62873,Q9UN86,P35555,Q13617,Q96S66
SARS-COV-2	Helicobacter pylori 26695	  2	 336	   2	P05556,Q7KZI7
SARS-COV-2	Human SARS coronavirus (sars-cov)	 11	 336	 165	Q7KZI7,P27448,Q9BYF1,Q9Y6E2,Q9H4F8,Q5JRX3,Q9BW92,O60573,P11940,Q6Y7W6,Q9UJZ1
SARS-COV-2	Human herpesvirus 8 (Kaposis sarcoma-associated herpesvirus)	 36	 336	 602	Q96AY3,Q96DZ1,P35556,P05026,O95260,Q9H6F5,Q9UBU6,Q9Y6M9,Q99470,P11233,P37198,P78406,P50897,P26358,P52948,P35658,O75592,Q99567,P14735,Q13438,Q7KZI7,P38606,Q7Z4Q2,Q96ER3,Q9Y6E2,Q9BS26,Q8IZ52,P06280,Q9NYU1,P17612,P25440,O60885,Q9H4P4,Q9NZL9,O94826,P51149
SARS-COV-2	Macaca mulatta polyomavirus 1	 15	 336	 314	P35555,P07858,P12109,P05556,Q9UL15,Q5VU43,Q86VM9,Q8NBX0,Q8TD10,P28300,Q8WTV0,Q9BRN9,Q9Y3A6,P09884,P67870
SARS-COV-2	Human immunodeficiency virus 1 ISOLATE LAI	  2	 336	  30	O94973,Q96CW1
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE ELI	 14	 336	 136	O94973,Q8TEM1,P13984,P35658,P37198,P52948,P62877,P78406,Q15369,Q15370,Q7Z3B4,Q96CW1,Q99567,Q9BVL2
SARS-COV-2	Human papillomavirus TYPE 6b (HPV 6b)	 32	 336	 432	Q8IWA5,Q8IZ52,Q969X5,Q96CW1,Q96S66,Q9BS26,P21964,Q13443,P07858,P05556,O43292,O60885,O94973,O95573,Q9H7F0,Q9UBU6,O76024,P27105,P28300,P33527,P38435,P51148,Q86VR2,Q8IV08,Q8NEW0,Q8TEQ8,Q8WUY8,Q96S52,Q9NP72,Q9NQC3,Q08431,P09884
SARS-COV-2	Human papillomavirus TYPE 11 (HPV 11)	 20	 336	 378	Q8IV08,Q8IZ52,Q8NEW0,Q969X5,Q96DZ1,P28300,P33527,Q08431,Q13443,Q3KQU3,Q5VT06,P05556,O60885,O95573,Q9BZQ6,Q9NP72,Q9NVH1,Q9UBU6,Q96JC1,P09884
SARS-COV-2	Hepatitis C virus ISOLATE H	 12	 336	 251	Q9UHD2,Q96CW1,Q9H6F5,Q8WTV0,P61106,P19784,Q8N3C7,Q96CN9,P09132,Q9Y680,P07858,Q8IUD2
SARS-COV-2	Hepatitis C virus ISOLATE CON1	 17	 336	 510	Q76N32,Q8IZ52,P35555,P67870,Q08379,O14874,Q9BV73,Q9UBX5,Q9Y6E2,Q96ER3,P05556,Q00765,P37198,Q5VU43,Q13438,P27105,Q9H6F5
SARS-COV-2	Human papillomavirus TYPE 8 (HPV 8)	 15	 336	 593	Q8IWA5,Q15369,Q5VT06,P12109,O60885,O75964,Q96JC1,O75592,P28300,P49643,Q08117,Q13546,Q5EBL8,Q9H270,Q9HAU0
SARS-COV-2	Human papillomavirus TYPE 1a (HPV 1a)	  6	 336	 192	Q5T1M5,P07203,Q5VT06,O60885,Q96JC1,Q9NP72
SARS-COV-2	Human papillomavirus TYPE 31 (HPV 31)	 28	 336	 516	Q8N6S5,Q8N766,Q92769,Q96CW1,Q96DZ1,P14735,O00203,O60885,O75964,O94973,Q9UL15,Q9Y4L1,O96028,P17612,P82663,P82675,Q92552,Q99567,O76024,Q00765,Q14157,Q96S52,Q9NQC3,Q6ZRP7,Q9HAU0,Q6PKG0,Q9NW13,O94826
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE NEW YORK-5	 18	 336	 141	Q15369,Q13617,Q15370,Q9ULX6,Q2PZI1,O00116,P21964,Q13724,O14745,Q8TEM1,P35658,P37198,P52948,P62877,P78406,Q7Z3B4,Q99567,Q9BVL2
SARS-COV-2	Yersinia pestis	 71	 336	2247	Q7Z7A1,Q9H173,Q8N8E3,Q8TAD8,P11940,O75592,Q5VU43,Q6PML9,Q6NXT4,Q9C0B5,Q9UH99,P61011,P09132,Q8N0X7,A3KN83,Q9NQC3,P61586,Q92900,Q70EL1,P35658,Q9NU22,P27448,Q4G0J3,Q7Z4H8,P13861,Q15056,O60573,P09601,Q92769,Q4V328,Q8IWJ2,Q96CN9,P62873,Q9BQS8,P35555,P26358,P67870,O75534,P12109,P07858,Q9BV19,P25440,Q9ULX6,Q08117,Q15370,Q04724,Q96ER3,Q6Y7W6,P37198,Q5VUA4,Q96JC1,Q9BS26,Q9UHD2,P13984,P51148,P50897,Q9NP72,P29122,P52948,P05556,Q9HAV7,Q9H3K2,P13804,Q66GS9,Q9BV73,Q9UHI8,O00203,P11310,Q9UBX5,A7MCY6,Q08379
SARS-COV-2	Kappapapillomavirus 2 (Papillomavirus sylvilagi) STRAIN KANSAS	  1	 336	   4	O60885
SARS-COV-2	Hepatitis C virus	  1	 336	  49	Q9UHD2
SARS-COV-2	Human herpesvirus 8 (Kaposis sarcoma-associated herpesvirus) TYPE M	 13	 336	 168	Q7KZI7,Q8IZ52,Q99470,Q9BS26,P26358,P50897,P17612,P06280,Q9H4P4,Q9NYU1,Q9NZL9,Q9UH99,Q13546
SARS-COV-2	Yersinia enterocolitica	  1	 336	  10	P61586
SARS-COV-2	Kappapapillomavirus 2 (Papillomavirus sylvilagi)	  1	 336	   7	O60885
SARS-COV-2	Human herpesvirus 3 STRAIN OKA VACCINE	  1	 336	   4	P14735
SARS-COV-2	Human herpesvirus 8 (Kaposis sarcoma-associated herpesvirus) STRAIN GK18	 24	 336	 362	P25440,P14735,O60885,Q9Y6E2,P51149,O94826,Q13438,O75592,P35658,P37198,P52948,P78406,Q99567,P38606,Q7Z4Q2,Q96ER3,Q92769,P26358,Q15904,P62877,Q15370,Q00765,Q15369,Q13546
SARS-COV-2	Yersinia pseudotuberculosis STRAIN IP 32953	  1	 336	   5	P61586
SARS-COV-2	Bovine papillomavirus TYPE 2 (BPV 2)	  1	 336	   2	O60885
SARS-COV-2	Escherichia coli O127:H6 STRAIN E2348 / 69	  2	 336	  25	Q13546,O14745
SARS-COV-2	Reovirus TYPE 1 / STRAIN LANG	  3	 336	  26	Q6PKG0,P11940,Q13310
SARS-COV-2	Clostridium botulinum D phage	  1	 336	   1	P11233
SARS-COV-2	Influenza A virus STRAIN A / PUERTO RICO / 8 / 1934 (H1N1)	 78	 336	1421	Q7L8L6,Q969X5,Q96B26,Q96D53,Q99081,P21964,P62873,Q15370,P07858,P09601,P13804,O00116,O43823,O94973,O95573,Q9BZQ6,Q9H845,Q9NY61,Q9UL15,Q9ULX6,Q9UN86,O14975,P05556,P51148,P61006,P61026,P61106,P62820,Q6ZRP7,Q8TEM1,Q96IV0,Q99470,Q9BSF4,Q9NP72,Q9NU22,Q9UJZ1,O75506,O94826,P82675,Q6PKG0,Q92615,Q9Y399,Q8TD10,Q9UJC3,P11940,Q86UT6,Q8IV08,Q9ULT8,Q92769,Q9HAV7,Q7Z3B4,Q8NEJ9,Q8N4C6,P35658,Q9HCE1,Q92900,Q13310,Q99959,P38435,Q96ER3,Q7Z4Q2,Q9Y6E2,P38606,P61962,Q96I59,P82663,Q4G0J3,Q7L2J0,Q96CN9,Q5T1M5,Q9NW13,O14578,Q8NCA5,P17612,Q3KQU3,Q86VM9,Q9Y312,P78406
SARS-COV-2	Influenza A virus STRAIN A / AICHI / 2 / 1968 (H3N2)	 16	 336	 243	Q92900,Q96I59,P82663,Q9HCE1,Q7L2J0,Q4G0J3,Q92615,Q6PKG0,P82675,Q9Y399,Q99959,Q3KQU3,P61962,O43823,Q9Y312,Q9UH99
SARS-COV-2	Human poliovirus 1 STRAIN SABIN	  1	 336	   2	P15151
SARS-COV-2	Human herpesvirus 1 STRAIN F	  1	 336	   4	Q9UHD2
SARS-COV-2	Hepatitis C virus ISOLATE BK	  2	 336	   8	Q8WTV0,P17612
SARS-COV-2	Human herpesvirus 1	  4	 336	  49	Q13546,Q13310,P11940,P35658
SARS-COV-2	Chicken anemia virus GERMAN ISOLATE CUXHAVEN-1	  1	 336	   4	Q9H2H8
SARS-COV-2	JC polyomavirus	  3	 336	  51	Q8NBX0,P13984,Q9UL15
SARS-COV-2	Human papillomavirus TYPE 3 (HPV 3)	  3	 336	 100	Q5VT06,O60885,Q96JC1
SARS-COV-2	Adeno-associated virus 2 ISOLATE SRIVASTAVA / 1982	  8	 336	 346	Q92769,Q9H845,O76024,P27105,Q13724,Q9UJZ1,Q9Y3U8,P17612
SARS-COV-2	Vaccinia virus	  1	 336	  16	Q9UHD2
SARS-COV-2	Hepatitis C virus ISOLATE JAPANESE	  1	 336	   7	P67870
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE MN	 15	 336	 140	Q13617,O94973,Q8TEM1,P13984,P35658,P37198,P52948,P62877,P78406,Q15369,Q15370,Q7Z3B4,Q96CW1,Q99567,Q9BVL2
SARS-COV-2	Murid herpesvirus 1 STRAIN K181	  1	 336	  35	Q92769
SARS-COV-2	Murid herpesvirus 4 (Murine herpesvirus 68)	 13	 336	 312	Q7Z7A1,Q96SN8,Q99996,P29122,Q08379,Q14789,Q4V328,Q5VU43,P11310,Q9ULT8,Q9UHD2,Q15369,Q5JSZ5
SARS-COV-2	Vesicular stomatitis STRAIN SAN JUAN	  2	 336	   3	P78406,P52948
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE HXB2	 82	 336	1497	Q8NCA5,Q969X5,P21964,P35556,P67870,Q13617,Q13724,Q15369,Q15370,Q2PZI1,P19784,O00116,O95573,Q9BZQ6,Q9NQC3,Q9P2E5,O14656,O43292,P00387,P05556,P12268,P16435,P51148,P51149,P61026,P61106,Q12907,Q13438,Q5JTV8,Q8IV08,Q8N766,Q8NBJ5,Q8TEM1,Q96DZ1,Q96IV0,Q99470,Q99519,Q9BS26,Q9H173,Q9UH99,Q9Y4L1,Q9HD40,Q9NZJ7,P13984,Q4G0J3,Q7L2J0,P35658,P52948,Q9UJZ1,Q96I59,O75534,Q9UN86,Q13283,Q9Y5J9,P11940,P29122,O60885,P61586,P62330,O94973,P37198,P62877,P78406,Q7Z3B4,Q96CW1,Q99567,Q9BVL2,O00469,O14745,P07858,Q2T9J0,Q8NEW0,Q99996,Q15904,P25440,P61011,Q9NQT4,Q9NR30,Q9NY61,Q9Y6E2,Q9ULX6,O43169
SARS-COV-2	Influenza A virus STRAIN A / UDORN / 307 / 1972 (H3N2)	  5	 336	 111	Q08379,Q99081,Q96B26,Q9UJC3,Q8TD10
SARS-COV-2	Rubella virus STRAIN M33	  1	 336	  58	Q8TAD8
SARS-COV-2	Human herpesvirus 4 (Epstein-Barr virus)	 25	 336	 616	Q8IUD2,Q8IZ52,P21964,P27105,P28300,P48556,P51148,Q3KQU3,Q5T1M5,P07858,P12109,O00469,P05556,O95573,Q9H7F0,Q9HAU0,Q9NP72,Q9NQC3,Q9P2E5,Q9UBX5,Q9UL15,P67870,P19784,Q9HAV7,Q9ULX6
SARS-COV-2	Legionella pneumophila SUBSPECIES PNEUMOPHILA STRAIN PHILADEPHIA	  2	 336	  24	P62820,P61006
SARS-COV-2	Human respiratory syncytial virus A2	 26	 336	 258	P51148,Q08379,P21964,O95573,O94826,Q12907,P13861,Q9ULX6,P00387,Q96S66,O76094,P51149,Q86UT6,P61006,Q9H7Z7,P50897,Q9NU22,O00116,P61019,Q8NBX0,Q13724,P61106,Q9ULT8,Q5JTV8,Q9NQC3,Q8TEM1
SARS-COV-2	Francisella tularensis SUBSPECIES TULARENSIS SCHU S4	 37	 336	1185	P35658,P61006,Q9C0B5,O94826,P61026,Q7Z7A1,P62330,Q9H7Z7,P11940,Q13438,Q99519,O75592,Q4G0J3,O60573,Q96CW5,Q86YB8,Q13617,P12109,O94973,Q9Y3A6,Q96CN9,Q70EL1,P51148,Q66GS9,O95070,Q9H270,Q9BS26,Q9H4F8,O14975,P61586,P27448,P09601,P67870,Q8N6S5,Q08117,Q13206,Q9UKA9
SARS-COV-2	Human immunodeficiency virus 1 (HIV1) ISOLATE BRU	 23	 336	 403	P67870,P19784,Q9NQT4,P11940,P61011,P52948,O94973,Q8TEM1,P13984,P35658,P37198,P62877,P78406,Q15369,Q15370,Q7Z3B4,Q96CW1,Q99567,Q9BVL2,O60885,Q9NR30,Q9ULX6,Q13617
SARS-COV-2	Human T-cell lymphotrophic virus TYPE 1 / STRAIN ATK	  1	 336	  20	Q13283
SARS-COV-2	Influenza A virus STRAIN A / Wilson-Smith / 1933 (H1N1)	109	 336	2246	Q6PKG0,Q6ZRP7,Q7L2J0,Q7L8L6,Q7Z3B4,Q7Z4Q2,Q86UT6,Q8N3C7,Q8NCA5,Q8TEM1,Q92552,Q92769,Q92900,Q96CW1,Q96CW5,Q96D53,Q96DZ1,Q96ER3,Q96F45,Q96I59,Q9BSJ2,P21964,P26358,P35658,P38606,P48556,P51148,P61962,P62873,P82663,P82675,Q10713,Q12907,Q13283,Q13617,Q15370,Q4G0J3,Q5JSZ5,P11310,P13804,P17612,O43823,O75439,O75534,O75964,O94973,O95391,O95573,Q9BZQ6,Q9H773,Q9HCE1,Q9NQC3,Q9NR30,Q9NU22,Q9NVH1,Q9UJZ1,Q9UL15,Q9ULT8,Q9ULX6,Q9UN86,Q9Y399,Q9Y5J9,Q9Y6E2,O75506,P11940,Q9Y3U8,O76094,P12268,P61026,Q13310,Q14157,Q92615,P05556,P15151,P27105,P62820,Q8IV08,Q8NBJ5,Q99470,Q9H173,Q9NYU1,P35241,P63218,Q13724,Q9HAV7,Q9NP72,Q9NZJ7,P37198,P52306,P61106,Q13438,Q3KQU3,Q96AY3,Q8N4C6,Q99959,P06280,P38435,O00116,Q9NW13,Q9H845,Q86VM9,P50897,Q9UJC3,Q8IWF2,Q70EL1,Q9UH99,Q99996,P78406,P52948
