ID	name	type	state	intNum	group	affected_organism
DB00107	Oxytocin	biotech	liquid	360	approved	Humans and other mammals
DB00108	Natalizumab	biotech	liquid	596	approved	Humans and other mammals
DB00109	Enfuvirtide	biotech	solid	13	approved	Human Immunodeficiency Virus
DB00110	Palivizumab	biotech	liquid	341	approved	unknown
DB00111	Daclizumab	biotech	liquid	595	investigational	Humans and other mammals
DB00112	Bevacizumab	biotech	liquid	626	approved	Humans and other mammals
DB00113	Technetium Tc-99m arcitumomab	biotech	liquid	329	experimental	Humans and other mammals
DB00114	Pyridoxal phosphate	small molecule	solid	0	approved	Humans and other mammals
DB00115	Cyanocobalamin	small molecule	solid	818	approved	Humans and other mammals
DB00116	Tetrahydrofolic acid	small molecule	solid	33	nutraceutical	Humans and other mammals
DB00117	Histidine	small molecule	solid	0	investigational	Humans and other mammals
DB00118	Ademetionine	small molecule	solid	21	approved	Humans and other mammals
DB00119	Pyruvic acid	small molecule	liquid	0	approved	Humans and other mammals
DB00120	Phenylalanine	small molecule	solid	447	approved	Humans and other mammals
DB00121	Biotin	small molecule	solid	0	approved	Humans and other mammals
DB00122	Choline	small molecule	liquid	103	approved	Humans and other mammals
DB00123	L-Lysine	small molecule	solid	0	approved	Humans and other mammals
DB00125	Arginine	small molecule	solid	0	investigational	Humans and other mammals
DB00126	Ascorbic acid	small molecule	solid	62	approved	Humans and other mammals
DB00127	Spermine	small molecule	solid	48	experimental	Humans and other mammals
DB00128	Aspartic acid	small molecule	solid	0	approved	Humans and other mammals
DB00129	Ornithine	small molecule	solid	0	approved	Humans and other mammals
DB00130	L-Glutamine	small molecule	solid	1	approved	Humans and other mammals
DB00131	Adenosine phosphate	small molecule	solid	0	approved	Humans and other mammals
DB00132	alpha-Linolenic acid	small molecule	liquid	1	approved	Humans and other mammals
DB00133	Serine	small molecule	solid	0	investigational	Humans and other mammals
DB00134	Methionine	small molecule	solid	1	approved	Humans and other mammals
DB00135	Tyrosine	small molecule	solid	0	approved	Humans and other mammals
DB00136	Calcitriol	small molecule	solid	346	approved	Humans and other mammals
DB00137	Lutein	small molecule	liquid	0	approved	Humans and other mammals
DB00138	Cystine	small molecule	solid	0	approved	Humans and other mammals
DB00139	Succinic acid	small molecule	solid	88	approved	Humans and other mammals
DB00140	Riboflavin	small molecule	solid	39	approved	Humans and other mammals
DB00141	N-Acetylglucosamine	small molecule	solid	0	approved	Humans and other mammals
DB00142	Glutamic acid	small molecule	solid	22	approved	Humans and other mammals
DB00143	Glutathione	small molecule	solid	0	approved	Humans and other mammals
DB00144	Phosphatidyl serine	small molecule	solid	0	approved	Humans and other mammals
DB00145	Glycine	small molecule	solid	8	approved	Humans and other mammals
DB00146	Calcifediol	small molecule	solid	147	approved	Humans and other mammals
DB00147	Pyridoxal	small molecule	solid	0	experimental	Humans and other mammals
DB00148	Creatine	small molecule	solid	0	approved	Humans and other mammals
DB00149	Leucine	small molecule	solid	0	investigational	Humans and other mammals
DB00150	Tryptophan	small molecule	solid	763	approved	Humans and other mammals
DB00151	Cysteine	small molecule	solid	0	approved	Humans and other mammals
DB00152	Thiamine	small molecule	solid	66	approved	Humans and other mammals
DB00153	Ergocalciferol	small molecule	solid	140	approved	Humans and other mammals
DB00154	Dihomo-gamma-linolenic acid	small molecule	solid	0	investigational	Humans and other mammals
DB00155	Citrulline	small molecule	solid	143	approved	Humans and other mammals
DB00156	Threonine	small molecule	solid	0	approved	Humans and other mammals
DB00157	NADH	small molecule	solid	0	approved	Humans and other mammals
DB00158	Folic acid	small molecule	solid	843	approved	Humans and other mammals
DB00159	Icosapent	small molecule	liquid	1382	approved	Humans and other mammals
DB00160	Alanine	small molecule	solid	0	nutraceutical	Humans and other mammals
DB00161	Valine	small molecule	solid	0	approved	Humans and other mammals
DB00162	Vitamin A	small molecule	solid	57	approved	Humans and other mammals
DB00163	Vitamin E	small molecule	solid	304	approved	Humans and other mammals
DB00165	Pyridoxine	small molecule	solid	742	approved	Humans and other mammals
DB00166	Lipoic acid	small molecule	solid	144	approved	Humans and other mammals
DB00167	Isoleucine	small molecule	solid	0	investigational	Humans and other mammals
DB00168	Aspartame	small molecule	solid	72	investigational	Humans and other mammals
DB00169	Cholecalciferol	small molecule	solid	390	approved	Humans and other mammals
DB00170	Menadione	small molecule	solid	253	approved	Humans and other mammals
DB00171	ATP	small molecule	solid	0	investigational	Humans and other mammals
DB00172	Proline	small molecule	solid	0	nutraceutical	Humans and other mammals
DB00173	Adenine	small molecule	solid	80	approved	Humans and other mammals
DB00174	Asparagine	small molecule	solid	0	approved	Humans and other mammals
DB00175	Pravastatin	small molecule	solid	529	approved	Humans and other mammals
DB00176	Fluvoxamine	small molecule	solid	2021	approved	Humans and other mammals
DB00177	Valsartan	small molecule	solid	1103	approved	Humans and other mammals
DB00178	Ramipril	small molecule	solid	1023	approved	Humans and other mammals
DB00179	Masoprocol	small molecule	solid	4	approved	Humans and other mammals
DB00180	Flunisolide	small molecule	solid	1052	approved	Humans and other mammals
DB00181	Baclofen	small molecule	solid	1600	approved	Humans and other mammals
DB00182	Amphetamine	small molecule	liquid	2036	approved	Humans and other mammals
DB00183	Pentagastrin	small molecule	solid	0	approved	Humans and other mammals
DB00184	Nicotine	small molecule	liquid	1199	approved	Humans and other mammals
DB00185	Cevimeline	small molecule	solid	1071	approved	Humans and other mammals
DB00186	Lorazepam	small molecule	solid	1764	approved	Humans and other mammals
DB00187	Esmolol	small molecule	solid	1373	approved	Humans and other mammals
DB00188	Bortezomib	small molecule	solid	1422	approved	Humans and other mammals
DB00189	Ethchlorvynol	small molecule	liquid	731	approved	Humans and other mammals
DB00190	Carbidopa	small molecule	solid	946	approved	Humans and other mammals
DB00191	Phentermine	small molecule	solid	1479	approved	Humans and other mammals
DB00192	Indecainide	small molecule	solid	0	approved	Humans and other mammals
DB00193	Tramadol	small molecule	solid	1951	approved	Humans and other mammals
DB00194	Vidarabine	small molecule	solid	1	approved	Human Herpes Virus
DB00195	Betaxolol	small molecule	solid	1517	approved	Humans and other mammals
DB00196	Fluconazole	small molecule	solid	1512	approved	Fungi
DB00197	Troglitazone	small molecule	solid	1115	approved	Humans and other mammals
DB00198	Oseltamivir	small molecule	solid	801	approved	Influenza A virus
DB00199	Erythromycin	small molecule	solid	973	approved	Enteric bacteria and other eubacteria
DB00200	Hydroxocobalamin	small molecule	solid	745	approved	Humans and other mammals
DB00201	Caffeine	small molecule	solid	647	approved	Humans and other mammals
DB00202	Succinylcholine	small molecule	solid	1228	approved	Humans and other mammals
DB00203	Sildenafil	small molecule	solid	1159	approved	Humans and other mammals
DB00204	Dofetilide	small molecule	solid	839	approved	Humans and other mammals
DB00205	Pyrimethamine	small molecule	solid	192	approved	Plasmodium
DB00206	Reserpine	small molecule	solid	1881	approved	Humans and other mammals
DB00207	Azithromycin	small molecule	solid	886	approved	Humans and other mammals
DB00208	Ticlopidine	small molecule	solid	1643	approved	Humans and other mammals
DB00209	Trospium	small molecule	solid	1078	approved	Humans and other mammals
DB00210	Adapalene	small molecule	solid	2	approved	Humans and other mammals
DB00211	Midodrine	small molecule	solid	820	approved	Humans and other mammals
DB00212	Remikiren	small molecule	solid	633	experimental	Humans and other mammals
DB00213	Pantoprazole	small molecule	solid	1047	approved	Humans and other mammals
DB00214	Torasemide	small molecule	solid	1607	approved	Humans and other mammals
DB00215	Citalopram	small molecule	solid	1644	approved	Humans and other mammals
DB00216	Eletriptan	small molecule	solid	1625	approved	Humans and other mammals
DB00217	Bethanidine	small molecule	solid	762	approved	Humans and other mammals
DB00218	Moxifloxacin	small molecule	solid	886	approved	Enteric bacteria and other eubacteria
DB00219	Oxyphenonium	small molecule	solid	957	approved	Humans and other mammals
DB00220	Nelfinavir	small molecule	solid	1004	approved	Human Immunodeficiency Virus
DB00221	Isoetharine	small molecule	solid	743	approved	Humans and other mammals
DB00222	Glimepiride	small molecule	solid	1100	approved	Humans and other mammals
DB00223	Diflorasone	small molecule	solid	256	approved	Humans and other mammals
DB00224	Indinavir	small molecule	solid	866	approved	Human Immunodeficiency Virus
DB00225	Gadodiamide	small molecule	solid	745	approved	Humans and other mammals
DB00226	Guanadrel	small molecule	solid	636	approved	Humans and other mammals
DB00227	Lovastatin	small molecule	solid	968	approved	Humans and other mammals
DB00228	Enflurane	small molecule	liquid	1178	approved	Humans and other mammals
DB00229	Cefotiam	small molecule	solid	867	approved	Enteric bacteria and other eubacteria
DB00230	Pregabalin	small molecule	solid	1829	approved	Humans and other mammals
DB00231	Temazepam	small molecule	solid	1399	approved	Humans and other mammals
DB00232	Methyclothiazide	small molecule	solid	1477	approved	Humans and other mammals
DB00233	Aminosalicylic acid	small molecule	solid	405	approved	Mycobacteria
DB00234	Reboxetine	small molecule	solid	878	approved	Humans and other mammals
DB00235	Milrinone	small molecule	solid	923	approved	Humans and other mammals
DB00236	Pipobroman	small molecule	solid	4	approved	Humans and other mammals
DB00237	Butabarbital	small molecule	solid	1458	approved	Humans and other mammals
DB00238	Nevirapine	small molecule	solid	832	approved	Human Immunodeficiency Virus
DB00239	Oxiconazole	small molecule	solid	6	approved	Fungi
DB00240	Alclometasone	small molecule	solid	259	approved	Humans and other mammals
DB00241	Butalbital	small molecule	solid	1269	approved	Humans and other mammals
DB00242	Cladribine	small molecule	solid	621	approved	Humans and other mammals
DB00243	Ranolazine	small molecule	solid	1485	approved	Humans and other mammals
DB00244	Mesalazine	small molecule	solid	1527	approved	Humans and other mammals
DB00245	Benzatropine	small molecule	solid	1864	approved	Humans and other mammals
DB00246	Ziprasidone	small molecule	solid	1949	approved	Humans and other mammals
DB00247	Methysergide	small molecule	solid	1491	approved	Humans and other mammals
DB00248	Cabergoline	small molecule	solid	1285	approved	Humans and other mammals
DB00249	Idoxuridine	small molecule	solid	0	approved	Herpes simplex virus
DB00250	Dapsone	small molecule	solid	633	approved	Mycobacteria
DB00251	Terconazole	small molecule	solid	0	approved	Fungi
DB00252	Phenytoin	small molecule	solid	1841	approved	Humans and other mammals
DB00253	Medrysone	small molecule	solid	260	approved	Humans and other mammals
DB00254	Doxycycline	small molecule	solid	1163	approved	Humans and other mammals
DB00255	Diethylstilbestrol	small molecule	solid	1192	approved	Humans and other mammals
DB00256	Lymecycline	small molecule	solid	312	approved	Enteric bacteria and other eubacteria
DB00257	Clotrimazole	small molecule	solid	19	approved	Yeast and other fungi
DB00258	Calcium acetate	small molecule	solid	348	approved	Humans and other mammals
DB00259	Sulfanilamide	small molecule	solid	10	approved	Candida albicans and other yeasts
DB00260	Cycloserine	small molecule	solid	161	approved	Enteric bacteria and other eubacteria
DB00261	Anagrelide	small molecule	solid	1493	approved	Humans and other mammals
DB00262	Carmustine	small molecule	solid	1326	approved	Humans and other mammals
DB00263	Sulfisoxazole	small molecule	solid	955	approved	Enteric bacteria and other eubacteria
DB00264	Metoprolol	small molecule	solid	1922	approved	Humans and other mammals
DB00265	Crotamiton	small molecule	liquid	0	approved	Humans and other mammals
DB00266	Dicoumarol	small molecule	solid	1468	approved	Humans and other mammals
DB00267	Cefmenoxime	small molecule	solid	783	approved	Enteric bacteria and other eubacteria
DB00268	Ropinirole	small molecule	solid	1144	approved	Humans and other mammals
DB00269	Chlorotrianisene	small molecule	solid	496	investigational	Humans and other mammals
DB00270	Isradipine	small molecule	solid	1738	approved	Humans and other mammals
DB00271	Diatrizoate	small molecule	solid	745	approved	Humans and other mammals
DB00272	Betazole	small molecule	liquid	0	approved	Humans and other mammals
DB00273	Topiramate	small molecule	solid	1557	approved	Humans and other mammals
DB00274	Cefmetazole	small molecule	solid	783	approved	Enteric bacteria and other eubacteria
DB00275	Olmesartan	small molecule	solid	821	approved	Humans and other mammals
DB00276	Amsacrine	small molecule	solid	469	approved	Humans and other mammals
DB00277	Theophylline	small molecule	solid	1287	approved	Humans and other mammals
DB00278	Argatroban	small molecule	solid	647	approved	Humans and other mammals
DB00279	Liothyronine	small molecule	solid	1272	approved	Humans and other mammals
DB00280	Disopyramide	small molecule	solid	2178	approved	Humans and other mammals
DB00281	Lidocaine	small molecule	solid	921	approved	Humans and other mammals
DB00282	Pamidronic acid	small molecule	solid	859	approved	Humans and other mammals
DB00283	Clemastine	small molecule	solid	1080	approved	Humans and other mammals
DB00284	Acarbose	small molecule	solid	1185	approved	Humans and other mammals
DB00285	Venlafaxine	small molecule	solid	2036	approved	Humans and other mammals
DB00286	Conjugated estrogens	small molecule	solid	1613	approved	Humans and other mammals
DB00287	Travoprost	small molecule	liquid	289	approved	Humans and other mammals
DB00288	Amcinonide	small molecule	solid	260	approved	Humans and other mammals
DB00289	Atomoxetine	small molecule	solid	1851	approved	Humans and other mammals
DB00290	Bleomycin	small molecule	solid	1041	approved	Humans and other mammals
DB00291	Chlorambucil	small molecule	solid	540	approved	Humans and other mammals
DB00292	Etomidate	small molecule	solid	1592	approved	Humans and other mammals
DB00293	Raltitrexed	small molecule	solid	461	approved	Humans and other mammals
DB00294	Etonogestrel	small molecule	solid	1136	approved	Humans and other mammals
DB00295	Morphine	small molecule	solid	1376	approved	Humans and other mammals
DB00296	Ropivacaine	small molecule	solid	1169	approved	Humans and other mammals
DB00297	Bupivacaine	small molecule	solid	665	approved	Humans and other mammals
DB00298	Dapiprazole	small molecule	solid	6	approved	Humans and other mammals
DB00299	Penciclovir	small molecule	solid	1	approved	Herpes simplex virus
DB00300	Tenofovir disoproxil	small molecule	solid	973	approved	Human Immunodeficiency Virus
DB00301	Flucloxacillin	small molecule	solid	375	approved	Enteric bacteria and other eubacteria
DB00302	Tranexamic acid	small molecule	solid	99	approved	Humans and other mammals
DB00303	Ertapenem	small molecule	solid	762	approved	Enteric bacteria and other eubacteria
DB00304	Desogestrel	small molecule	solid	776	approved	Humans and other mammals
DB00305	Mitomycin	small molecule	solid	472	approved	Humans and other mammals
DB00306	Talbutal	small molecule	solid	863	approved	Humans and other mammals
DB00307	Bexarotene	small molecule	solid	912	approved	Humans and other mammals
DB00308	Ibutilide	small molecule	solid	1089	approved	Humans and other mammals
DB00309	Vindesine	small molecule	solid	531	approved	Humans and other mammals
DB00310	Chlorthalidone	small molecule	solid	1437	approved	Humans and other mammals
DB00311	Ethoxzolamide	small molecule	solid	785	withdrawn	Humans and other mammals
DB00312	Pentobarbital	small molecule	solid	1854	approved	Humans and other mammals
DB00313	Valproic acid	small molecule	solid	1683	approved	Humans and other mammals
DB00314	Capreomycin	small molecule	solid	898	approved	Enteric bacteria and other eubacteria
DB00315	Zolmitriptan	small molecule	solid	1351	approved	Humans and other mammals
DB00316	Acetaminophen	small molecule	solid	1394	approved	Humans and other mammals
DB00317	Gefitinib	small molecule	solid	850	approved	Humans and other mammals
DB00318	Codeine	small molecule	solid	1638	approved	Humans and other mammals
DB00319	Piperacillin	small molecule	solid	936	approved	Enteric bacteria and other eubacteria
DB00320	Dihydroergotamine	small molecule	solid	1561	approved	Humans and other mammals
DB00321	Amitriptyline	small molecule	solid	2338	approved	Humans and other mammals
DB00322	Floxuridine	small molecule	solid	1234	approved	Humans and other mammals
DB00323	Tolcapone	small molecule	solid	1575	approved	Humans and other mammals
DB00324	Fluorometholone	small molecule	solid	260	approved	Humans and other mammals
DB00325	Nitroprusside	small molecule	solid	1257	approved	Humans and other mammals
DB00326	Calcium glucoheptonate	small molecule	solid	238	approved	Humans and other mammals
DB00327	Hydromorphone	small molecule	solid	1619	approved	Humans and other mammals
DB00328	Indomethacin	small molecule	solid	1952	approved	Humans and other mammals
DB00330	Ethambutol	small molecule	solid	764	approved	Humans and other mammals
DB00331	Metformin	small molecule	solid	1268	approved	Humans and other mammals
DB00332	Ipratropium	small molecule	solid	955	approved	Humans and other mammals
DB00333	Methadone	small molecule	solid	2085	approved	Humans and other mammals
DB00334	Olanzapine	small molecule	solid	1805	approved	Humans and other mammals
DB00335	Atenolol	small molecule	solid	1333	approved	Humans and other mammals
DB00336	Nitrofural	small molecule	solid	0	approved	Gram negative and gram positive bacteria
DB00337	Pimecrolimus	small molecule	solid	261	approved	Humans and other mammals
DB00338	Omeprazole	small molecule	solid	903	approved	Humans and other mammals
DB00339	Pyrazinamide	small molecule	solid	763	approved	Mycobacterium tuberculosis
DB00340	Metixene	small molecule	liquid	958	approved	Humans and other mammals
DB00341	Cetirizine	small molecule	solid	1592	approved	Humans and other mammals
DB00342	Terfenadine	small molecule	solid	1682	approved	Humans and other mammals
DB00343	Diltiazem	small molecule	solid	1648	approved	Humans and other mammals
DB00344	Protriptyline	small molecule	solid	1620	approved	Humans and other mammals
DB00345	Aminohippuric acid	small molecule	solid	236	approved	Humans and other mammals
DB00346	Alfuzosin	small molecule	solid	829	approved	Humans and other mammals
DB00347	Trimethadione	small molecule	solid	1794	approved	Humans and other mammals
DB00348	Nitisinone	small molecule	solid	0	approved	Humans and other mammals
DB00349	Clobazam	small molecule	solid	1795	approved	Humans and other mammals
DB00350	Minoxidil	small molecule	solid	685	approved	Humans and other mammals
DB00351	Megestrol acetate	small molecule	solid	1178	approved	Humans and other mammals
DB00352	Tioguanine	small molecule	solid	467	approved	Humans and other mammals
DB00353	Methylergometrine	small molecule	solid	730	approved	Humans and other mammals
DB00354	Buclizine	small molecule	liquid	1186	approved	Humans and other mammals
DB00355	Aztreonam	small molecule	solid	761	approved	Enteric bacteria and other eubacteria
DB00356	Chlorzoxazone	small molecule	solid	1702	approved	Humans and other mammals
DB00357	Aminoglutethimide	small molecule	solid	286	approved	Humans and other mammals
DB00358	Mefloquine	small molecule	solid	942	approved	Plasmodium
DB00359	Sulfadiazine	small molecule	solid	1411	approved	Enteric bacteria and other eubacteria
DB00360	Sapropterin	small molecule	solid	17	approved	Humans and other mammals
DB00361	Vinorelbine	small molecule	solid	862	approved	Humans and other mammals
DB00362	Anidulafungin	small molecule	solid	14	approved	Aspergillis, Candida and other fungi
DB00363	Clozapine	small molecule	solid	2324	approved	Humans and other mammals
DB00364	Sucralfate	small molecule	solid	877	approved	Humans and other mammals
DB00365	Grepafloxacin	small molecule	solid	1059	approved	Enteric bacteria and other eubacteria
DB00366	Doxylamine	small molecule	liquid	1180	approved	Humans and other mammals
DB00367	Levonorgestrel	small molecule	solid	686	approved	Humans and other mammals
DB00368	Norepinephrine	small molecule	solid	992	approved	Humans and other mammals
DB00369	Cidofovir	small molecule	solid	816	approved	Human Immunodeficiency Virus
DB00370	Mirtazapine	small molecule	solid	1631	approved	Humans and other mammals
DB00371	Meprobamate	small molecule	solid	734	approved	Humans and other mammals
DB00372	Thiethylperazine	small molecule	liquid	1483	approved	Humans and other mammals
DB00373	Timolol	small molecule	solid	1856	approved	Humans and other mammals
DB00374	Treprostinil	small molecule	solid	1200	approved	Humans and other mammals
DB00375	Colestipol	small molecule	solid	342	approved	Humans and other mammals
DB00376	Trihexyphenidyl	small molecule	solid	958	approved	Humans and other mammals
DB00377	Palonosetron	small molecule	solid	1564	approved	Humans and other mammals
DB00378	Dydrogesterone	small molecule	solid	111	approved	Humans and other mammals
DB00379	Mexiletine	small molecule	solid	743	approved	Humans and other mammals
DB00380	Dexrazoxane	small molecule	solid	1112	approved	Humans and other mammals
DB00381	Amlodipine	small molecule	solid	1257	approved	Humans and other mammals
DB00382	Tacrine	small molecule	solid	655	approved	Humans and other mammals
DB00383	Oxyphencyclimine	small molecule	solid	957	approved	Humans and other mammals
DB00384	Triamterene	small molecule	solid	1349	approved	Humans and other mammals
DB00385	Valrubicin	small molecule	solid	4	approved	Humans and other mammals
DB00387	Procyclidine	small molecule	solid	958	approved	Humans and other mammals
DB00388	Phenylephrine	small molecule	solid	936	approved	Humans and other mammals
DB00389	Carbimazole	small molecule	solid	421	approved	Humans and other mammals
DB00390	Digoxin	small molecule	solid	1614	approved	Humans and other mammals
DB00391	Sulpiride	small molecule	solid	1209	approved	Humans and other mammals
DB00392	Profenamine	small molecule	solid	1069	approved	Humans and other mammals
DB00393	Nimodipine	small molecule	solid	1224	approved	Humans and other mammals
DB00394	Beclomethasone dipropionate	small molecule	solid	1133	approved	Humans and other mammals
DB00395	Carisoprodol	small molecule	solid	857	approved	Humans and other mammals
DB00396	Progesterone	small molecule	solid	1188	approved	Humans and other mammals
DB00397	Phenylpropanolamine	small molecule	solid	893	approved	Humans and other mammals
DB00398	Sorafenib	small molecule	solid	1887	approved	Humans and other mammals
DB00399	Zoledronic acid	small molecule	solid	316	approved	Humans and other mammals
DB00400	Griseofulvin	small molecule	solid	448	approved	Yeast and other Trichophyton or Microsporum fungi
DB00401	Nisoldipine	small molecule	solid	1804	approved	Humans and other mammals
DB00402	Eszopiclone	small molecule	solid	1685	approved	Humans and other mammals
DB00403	Ceruletide	small molecule	solid	0	approved	Humans and other mammals
DB00404	Alprazolam	small molecule	solid	1826	approved	Humans and other mammals
