gene	abslogFC	rank	eid	weightFC	weightR
SLC1A3	6.11	40	6507	0.5966796875	0.868686868686869
MRC1	6.09	41	4360	0.5947265625	0.865319865319865
SIGLEC12	6	42	89858	0.5859375	0.861952861952862
OLAH	5.94	43	55301	0.580078125	0.858585858585859
IGHGP	5.93	44	3505	0.5791015625	0.855218855218855
U1	5.93	45	26871	0.5791015625	0.851851851851852
SDC1	5.91	46	6382	0.5771484375	0.848484848484849
IGHV3-53	5.9	47	28420	0.576171875	0.845117845117845
IGLV3-10	5.88	48	28803	0.57421875	0.841750841750842
ALOX15B	5.87	49	247	0.5732421875	0.838383838383838
CLC	5.84	50	1178	0.5703125	0.835016835016835
C1QC	5.81	51	714	0.5673828125	0.831649831649832
CROCC2	5.81	52	728763	0.5673828125	0.828282828282828
IGHV2-70D	5.79	53	102723168	0.5654296875	0.824915824915825
IGHV3-30	5.78	54	28439	0.564453125	0.821548821548822
IGLV3-1	5.72	55	28809	0.55859375	0.818181818181818
IGHV3-66	5.71	56	28412	0.5576171875	0.814814814814815
IGHV4-39	5.69	57	28394	0.5556640625	0.811447811447811
IGLJ3	5.64	58	28831	0.55078125	0.808080808080808
IGKV2-40	5.64	59	28916	0.55078125	0.804713804713805
AC008957.3	5.62	60	AC008957.3	0.548828125	0.801346801346801
IGKV2D-29	5.59	61	28882	0.5458984375	0.797979797979798
IGHV3-20	5.58	62	28445	0.544921875	0.794612794612795
MS4A2	5.55	63	931	0.5419921875	0.791245791245791
TMIGD3	5.53	64	57413	0.5400390625	0.787878787878788
PPARG	5.52	65	5468	0.5390625	0.784511784511784
TRIM71	5.5	66	131405	0.537109375	0.781144781144781
IGLV2-28	5.38	67	28812	0.525390625	0.777777777777778
IGHG4	5.37	68	3503	0.5244140625	0.774410774410774
IGKV2-24	5.35	69	28923	0.5224609375	0.771043771043771
CES1P1	5.33	70	51716	0.5205078125	0.767676767676768
TMEM45A	5.33	71	55076	0.5205078125	0.764309764309764
IGLV6-57	5.31	72	28778	0.5185546875	0.760942760942761
IGKV2-26	5.27	73	28922	0.5146484375	0.757575757575758
IGKV2-28	5.25	74	28921	0.5126953125	0.754208754208754
RNASE2	5.25	75	6036	0.5126953125	0.750841750841751
FN1	5.23	76	2335	0.5107421875	0.747474747474748
IGKV2D-28	5.23	77	28883	0.5107421875	0.744107744107744
AL355922.1	5.23	78	AL355922.1	0.5107421875	0.740740740740741
IGHJ4	5.22	79	28477	0.509765625	0.737373737373737
IGKV2D-40	5.21	80	28878	0.5087890625	0.734006734006734
IGLV1-41	5.19	81	28824	0.5068359375	0.730639730639731
IGHJ5	5.16	82	28476	0.50390625	0.727272727272727
IGHV3-13	5.14	83	28449	0.501953125	0.723905723905724
IGHV3-33	5.09	84	28434	0.4970703125	0.720538720538721
RNU6-1010P	5.06	85	106481929	0.494140625	0.717171717171717
OLFML2A	5.05	86	169611	0.4931640625	0.713804713804714
C1QB	5.04	87	713	0.4921875	0.71043771043771
SH2D4A	5.04	88	63898	0.4921875	0.707070707070707
GSTM1	5.01	89	2944	0.4892578125	0.703703703703704
CPA3	4.99	90	1359	0.4873046875	0.7003367003367
SYN2	4.95	91	6854	0.4833984375	0.696969696969697
CD163	4.94	92	9332	0.482421875	0.693602693602694
IL5RA	4.89	93	3568	0.4775390625	0.69023569023569
RNU1-28P	4.87	94	26866	0.4755859375	0.686868686868687
RNU1-27P	4.85	95	26865	0.4736328125	0.683501683501683
IGHV3-72	4.83	96	28410	0.4716796875	0.68013468013468
IGHJ6	4.81	97	28475	0.4697265625	0.676767676767677
SPRY2	4.81	98	10253	0.4697265625	0.673400673400673
GPER1	4.8	99	2852	0.46875	0.67003367003367
IGLV3-21	4.78	100	28796	0.466796875	0.666666666666667
AC027601.6	4.77	101	AC027601.6	0.4658203125	0.663299663299663
CXCL10	4.76	102	3627	0.46484375	0.65993265993266
IGHV5-51	4.75	103	28388	0.4638671875	0.656565656565657
IGKV1-39	4.72	104	28930	0.4609375	0.653198653198653
IGLV10-54	4.72	105	28772	0.4609375	0.64983164983165
NUAK1	4.71	106	9891	0.4599609375	0.646464646464647
IGKV1D-39	4.7	107	28893	0.458984375	0.643097643097643
FLT3	4.7	108	2322	0.458984375	0.63973063973064
IGKV3D-20	4.68	109	28874	0.45703125	0.636363636363636
IGHJ2	4.64	110	28481	0.453125	0.632996632996633
HLA-DQA2	4.61	111	3118	0.4501953125	0.62962962962963
CCR3	4.61	112	1232	0.4501953125	0.626262626262626
SH3PXD2B	4.59	113	285590	0.4482421875	0.622895622895623
IGHV4-31	4.57	114	28396	0.4462890625	0.619528619528619
IGHJ3	4.57	115	28479	0.4462890625	0.616161616161616
IGKV1D-33	4.57	116	28896	0.4462890625	0.612794612794613
IGFBP2	4.56	117	3485	0.4453125	0.609427609427609
IGLV2-14	4.52	118	28815	0.44140625	0.606060606060606
IGLV2-34	4.52	119	28810	0.44140625	0.602693602693603
IGKV1-33	4.5	120	28933	0.439453125	0.599326599326599
ARPIN	4.48	121	348110	0.4375	0.595959595959596
GPNMB	4.48	122	10457	0.4375	0.592592592592593
IGHV4-59	4.45	123	28392	0.4345703125	0.589225589225589
OTOF	4.45	124	9381	0.4345703125	0.585858585858586
KCNMA1	4.42	125	3778	0.431640625	0.582491582491583
MMP19	4.42	126	4327	0.431640625	0.579124579124579
IGHG3	4.42	127	3502	0.431640625	0.575757575757576
IGHV3-48	4.4	128	28424	0.4296875	0.572390572390572
LPL	4.4	129	3936	0.4296875	0.569023569023569
IGHV3-64	4.38	130	28414	0.427734375	0.565656565656566
IGKV2-29	4.37	131	28920	0.4267578125	0.562289562289562
IGLC3	4.37	132	3539	0.4267578125	0.558922558922559
IGKV1-37	4.34	133	28931	0.423828125	0.555555555555556
IGKV1D-37	4.34	134	28894	0.423828125	0.552188552188552
IGHV4-61	4.32	135	28391	0.421875	0.548821548821549
IGKV3-7	4.32	136	28915	0.421875	0.545454545454545
IGHV4-28	4.31	137	28400	0.4208984375	0.542087542087542
IGHV3-43	4.31	138	28426	0.4208984375	0.538720538720539
AREG	4.28	139	374	0.41796875	0.535353535353535
IGKV1-9	4.27	140	28941	0.4169921875	0.531986531986532
ARHGAP29	4.27	141	9411	0.4169921875	0.528619528619529
CXCL8	4.27	142	3576	0.4169921875	0.525252525252525
AKAP12	4.26	143	9590	0.416015625	0.521885521885522
IGLV7-46	4.19	144	28775	0.4091796875	0.518518518518518
IGHV2-26	4.18	145	28455	0.408203125	0.515151515151515
HTRA1	4.18	146	5654	0.408203125	0.511784511784512
LINC02458	4.18	147	728084	0.408203125	0.508417508417508
IGHV4-55	4.16	148	28393	0.40625	0.505050505050505
IGHV2-5	4.15	149	28457	0.4052734375	0.501683501683502
IGLC2	4.15	150	3538	0.4052734375	0.498316498316498
IGKV3-20	4.14	151	28912	0.404296875	0.494949494949495
IGLV3-16	4.14	152	28799	0.404296875	0.491582491582492
IL10	4.1	153	3586	0.400390625	0.488215488215488
AMPH	4.1	154	273	0.400390625	0.484848484848485
HRH4	4.07	155	59340	0.3974609375	0.481481481481481
CDC25A	4.05	156	993	0.3955078125	0.478114478114478
MS4A4A	4.02	157	51338	0.392578125	0.474747474747475
IGKV3-11	4.01	158	28914	0.3916015625	0.471380471380471
IGHV1-46	4.01	159	28465	0.3916015625	0.468013468013468
CD163L1	3.97	160	283316	0.3876953125	0.464646464646465
AL359636.2	3.97	161	AL359636.2	0.3876953125	0.461279461279461
IGHV3-21	3.94	162	28444	0.384765625	0.457912457912458
IGKV1D-13	3.94	163	28902	0.384765625	0.454545454545455
IGKV4-1	3.94	164	28908	0.384765625	0.451178451178451
IGKV5-2	3.94	165	28907	0.384765625	0.447811447811448
TPST1	3.91	166	8460	0.3818359375	0.444444444444444
NTSR1	3.9	167	4923	0.380859375	0.441077441077441
LINC00482	3.9	168	284185	0.380859375	0.437710437710438
ACVRL1	3.89	169	94	0.3798828125	0.434343434343434
HLA-DRB6	3.89	170	3128	0.3798828125	0.430976430976431
IGHV3-49	3.88	171	28423	0.37890625	0.427609427609428
RN7SL1	3.88	172	6029	0.37890625	0.424242424242424
TCN2	3.85	173	6948	0.3759765625	0.420875420875421
IGHV3-11	3.85	174	28402	0.3759765625	0.417508417508417
IGLV2-11	3.83	175	28816	0.3740234375	0.414141414141414
TNFRSF17	3.83	176	608	0.3740234375	0.410774410774411
IGHV3-7	3.82	177	28452	0.373046875	0.407407407407407
GRB10	3.82	178	2887	0.373046875	0.404040404040404
RNASE3	3.82	179	6037	0.373046875	0.400673400673401
ITGB8	3.82	180	3696	0.373046875	0.397306397306397
IGKV1-12	3.81	181	28940	0.3720703125	0.393939393939394
SIGLEC11	3.78	182	114132	0.369140625	0.390572390572391
IGHV3-15	3.77	183	28448	0.3681640625	0.387205387205387
IGLV1-51	3.77	184	28820	0.3681640625	0.383838383838384
IGHV6-1	3.74	185	28385	0.365234375	0.38047138047138
MSR1	3.73	186	4481	0.3642578125	0.377104377104377
IGHV4-4	3.72	187	28401	0.36328125	0.373737373737374
AC106865.1	3.71	188	AC106865.1	0.3623046875	0.37037037037037
IGKV1-17	3.68	189	28937	0.359375	0.367003367003367
ENPP3	3.68	190	5169	0.359375	0.363636363636364
IGLV1-36	3.67	191	28826	0.3583984375	0.36026936026936
EGR3	3.56	192	1960	0.34765625	0.356902356902357
SLC1A7	3.52	193	6512	0.34375	0.353535353535354
G0S2	3.51	194	50486	0.3427734375	0.35016835016835
SCARNA5	3.45	195	677775	0.3369140625	0.346801346801347
NOG	3.44	196	9241	0.3359375	0.343434343434343
CAMK2N1	3.43	197	55450	0.3349609375	0.34006734006734
AC058791.1	3.43	198	AC058791.1	0.3349609375	0.336700336700337
EPHB1	3.42	199	2047	0.333984375	0.333333333333333
AC020659.1	3.27	200	AC020659.1	0.3193359375	0.32996632996633
SNORA73B	3.26	201	26768	0.318359375	0.326599326599327
CCL4L2	3.25	202	9560	0.3173828125	0.323232323232323
RN7SL5P	3.25	203	6031	0.3173828125	0.31986531986532
RN7SL4P	3.22	204	6030	0.314453125	0.316498316498317
SCARNA21	3.2	205	677763	0.3125	0.313131313131313
PTGDR2	3.19	206	11251	0.3115234375	0.30976430976431
CXCR2	3.16	207	3579	0.30859375	0.306397306397306
AGAP1	3.14	208	116987	0.306640625	0.303030303030303
KY	3.12	209	339855	0.3046875	0.2996632996633
ZNF365	3.11	210	22891	0.3037109375	0.296296296296296
A2M-AS1	3.08	211	144571	0.30078125	0.292929292929293
PTGS2	3.01	212	5743	0.2939453125	0.28956228956229
CHI3L1	2.99	213	1116	0.2919921875	0.286195286195286
CDKN1C	2.92	214	1028	0.28515625	0.282828282828283
LINC00612	2.92	215	253128	0.28515625	0.279461279461279
AC008533.1	2.9	216	AC008533.1	0.283203125	0.276094276094276
ZDHHC11B	2.89	217	653082	0.2822265625	0.272727272727273
TNFRSF10C	2.89	218	8794	0.2822265625	0.269360269360269
TCN1	2.82	219	6947	0.275390625	0.265993265993266
AC008033.3	2.82	220	AC008033.3	0.275390625	0.262626262626263
EFNA5	2.81	221	1946	0.2744140625	0.259259259259259
MME	2.8	222	4311	0.2734375	0.255892255892256
A2M	2.77	223	2	0.2705078125	0.252525252525253
KRT17P8	2.76	224	100130074	0.26953125	0.249158249158249
IGFBP3	2.76	225	3486	0.26953125	0.245791245791246
NTRK1	2.73	226	4914	0.2666015625	0.242424242424242
BTG1P1	2.65	227	100129641	0.2587890625	0.239057239057239
SIGLEC17P	2.64	228	284367	0.2578125	0.235690235690236
CMTM2	2.63	229	146225	0.2568359375	0.232323232323232
ESRP2	2.61	230	80004	0.2548828125	0.228956228956229
CCN3	2.6	231	4856	0.25390625	0.225589225589226
MALAT1	2.59	232	378938	0.2529296875	0.222222222222222
AL499604.1	2.56	233	AL499604.1	0.25	0.218855218855219
AC079793.1	2.54	234	AC079793.1	0.248046875	0.215488215488215
AC089984.2	2.53	235	AC089984.2	0.2470703125	0.212121212121212
LINC02384	2.5	236	100507195	0.244140625	0.208754208754209
LINC00987	2.5	237	100499405	0.244140625	0.205387205387205
PZP	2.49	238	5858	0.2431640625	0.202020202020202
EEF1A1P3	2.45	239	100421865	0.2392578125	0.198653198653199
LIM2	2.41	240	3982	0.2353515625	0.195286195286195
CRIP2	2.41	241	1397	0.2353515625	0.191919191919192
KIR3DL1	2.4	242	3811	0.234375	0.188552188552189
Z94721.1	2.4	243	Z94721.1	0.234375	0.185185185185185
MYBL1	2.37	244	4603	0.2314453125	0.181818181818182
KLRB1	2.37	245	3820	0.2314453125	0.178451178451178
SLC45A3	2.36	246	85414	0.23046875	0.175084175084175
ADGRB2	2.35	247	576	0.2294921875	0.171717171717172
PRSS30P	2.35	248	124221	0.2294921875	0.168350168350168
TSHZ2	2.34	249	128553	0.228515625	0.164983164983165
LINC00513	2.33	250	100506860	0.2275390625	0.161616161616162
ADORA2A-AS1	2.3	251	646023	0.224609375	0.158249158249158
C19orf84	2.3	252	147646	0.224609375	0.154882154882155
NBPF13P	2.28	253	644861	0.22265625	0.151515151515152
AC010894.5	2.28	254	AC010894.5	0.22265625	0.148148148148148
LINC00298	2.27	255	339788	0.2216796875	0.144781144781145
PRSS57	2.25	256	400668	0.2197265625	0.141414141414141
AL359962.2	2.24	257	AL359962.2	0.21875	0.138047138047138
SGCD	2.24	258	6444	0.21875	0.134680134680135
AP003717.4	2.23	259	AP003717.4	0.2177734375	0.131313131313131
A2MP1	2.23	260	3	0.2177734375	0.127946127946128
PTPRS	2.21	261	5802	0.2158203125	0.124579124579125
FAM160A1	2.21	262	729830	0.2158203125	0.121212121212121
KLRG1	2.2	263	10219	0.21484375	0.117845117845118
ANGPTL6	2.19	264	83854	0.2138671875	0.114478114478114
LAMA2	2.18	265	3908	0.212890625	0.111111111111111
PRSS23	2.18	266	11098	0.212890625	0.107744107744108
GATA3	2.18	267	2625	0.212890625	0.104377104377104
LGALS9B	2.17	268	284194	0.2119140625	0.101010101010101
MT-ND6	2.17	269	4541	0.2119140625	0.0976430976430976
AC022217.3	2.17	270	AC022217.3	0.2119140625	0.0942760942760943
PDZD4	2.15	271	57595	0.2099609375	0.0909090909090909
LINC00402	2.15	272	100507612	0.2099609375	0.0875420875420875
AC022973.3	2.14	273	AC022973.3	0.208984375	0.0841750841750842
LINC00944	2.13	274	387895	0.2080078125	0.0808080808080808
AL031283.1	2.12	275	AL031283.1	0.20703125	0.0774410774410774
TGFBR3	2.12	276	7049	0.20703125	0.0740740740740741
OVCH1-AS1	2.12	277	101055625	0.20703125	0.0707070707070707
LCNL1	2.11	278	401562	0.2060546875	0.0673400673400673
TRBV29-1	2.1	279	28558	0.205078125	0.063973063973064
CACNA2D2	2.09	280	9254	0.2041015625	0.0606060606060606
LINC00299	2.09	281	339789	0.2041015625	0.0572390572390572
HAR1A	2.08	282	768096	0.203125	0.0538720538720539
AL359962.3	2.07	283	AL359962.3	0.2021484375	0.0505050505050505
SYTL2	2.07	284	54843	0.2021484375	0.0471380471380471
CCL4	2.06	285	6351	0.201171875	0.0437710437710438
MAGEE1	2.05	286	51438	0.2001953125	0.0404040404040404
IFNG	2.05	287	3458	0.2001953125	0.037037037037037
AC010894.3	2.02	288	AC010894.3	0.197265625	0.0336700336700337
COLGALT2	2.02	289	23127	0.197265625	0.0303030303030303
AC008735.2	2	290	AC008735.2	0.1953125	0.0269360269360269
NAP1L2	1.99	291	4674	0.1943359375	0.0235690235690236
AC131568.1	1.99	292	AC131568.1	0.1943359375	0.0202020202020202
CABP4	1.99	293	57010	0.1943359375	0.0168350168350168
NCR3	1.98	294	259197	0.193359375	0.0134680134680135
TPM2	1.97	295	7169	0.1923828125	0.0101010101010101
BCL11B	1.96	296	64919	0.19140625	0.00673400673400673
AC068282.1	1.95	297	AC068282.1	0.1904296875	0.00336700336700337
