gene	abslogFC	rank	eid	weightFC	weightR
AC011933.2	7.68	112	AC011933.2	0.289592760180995	0.63
SOX21-AS1	7.67	113	100507533	0.28921568627451	0.626666666666667
CRYM	7.65	114	1428	0.288461538461538	0.623333333333333
MAL2	7.62	115	114569	0.287330316742081	0.62
CXCL17	7.62	116	284340	0.287330316742081	0.616666666666667
AL357093.2	7.59	117	AL357093.2	0.286199095022624	0.613333333333333
EYA1	7.55	118	2138	0.284690799396682	0.61
GPRC5A	7.54	119	9052	0.284313725490196	0.606666666666667
CGNL1	7.54	120	84952	0.284313725490196	0.603333333333333
EGFR	7.52	121	1956	0.283559577677225	0.6
AQP5	7.51	122	362	0.283182503770739	0.596666666666667
LRIG3	7.51	123	121227	0.283182503770739	0.593333333333333
GULP1	7.48	124	51454	0.282051282051282	0.59
PITX1	7.46	125	5307	0.281297134238311	0.586666666666667
CFTR	7.45	126	1080	0.280920060331825	0.583333333333333
HIST2H2AC	7.42	127	8338	0.279788838612368	0.58
CA8	7.42	128	767	0.279788838612368	0.576666666666667
AL035661.1	7.42	129	AL035661.1	0.279788838612368	0.573333333333333
KLHL6-AS1	7.4	130	100874019	0.279034690799397	0.57
MTND1P23	7.36	131	100887749	0.277526395173454	0.566666666666667
RPL13AP25	7.36	132	100287887	0.277526395173454	0.563333333333333
TEX26	7.34	133	122046	0.276772247360483	0.56
TGFB2	7.33	134	7042	0.276395173453997	0.556666666666667
AC026403.1	7.33	135	AC026403.1	0.276395173453997	0.553333333333333
POF1B	7.33	136	79983	0.276395173453997	0.55
PRKAA2	7.3	137	5563	0.27526395173454	0.546666666666667
MYRIP	7.3	138	25924	0.27526395173454	0.543333333333333
GAREM1	7.3	139	64762	0.27526395173454	0.54
BEND7	7.27	140	222389	0.274132730015083	0.536666666666667
SH3D19	7.26	141	152503	0.273755656108597	0.533333333333333
KIAA1217	7.26	142	56243	0.273755656108597	0.53
HUNK	7.23	143	30811	0.27262443438914	0.526666666666667
TRIM2	7.16	144	23321	0.269984917043741	0.523333333333333
HIST1H2BH	7.15	145	8345	0.269607843137255	0.52
RPL12P4	7.14	146	116149	0.269230769230769	0.516666666666667
LCN2	7.13	147	3934	0.268853695324284	0.513333333333333
TMIGD3	7.11	148	57413	0.268099547511312	0.51
THRB	7.11	149	7068	0.268099547511312	0.506666666666667
TSPAN8	7.1	150	7103	0.267722473604827	0.503333333333333
SPN	5.22	151	6693	0.19683257918552	0.5
POR	5.14	152	5447	0.193815987933635	0.496666666666667
QSOX1	4.92	153	5768	0.18552036199095	0.493333333333333
PNPLA6	4.88	154	10908	0.184012066365008	0.49
MAN2B1	4.35	155	4125	0.164027149321267	0.486666666666667
TRPV2	4.33	156	51393	0.163273001508296	0.483333333333333
GAA	4.21	157	2548	0.158748114630468	0.48
GPD1	4.2	158	2819	0.158371040723982	0.476666666666667
HBEGF	4.11	159	1839	0.154977375565611	0.473333333333333
NUCB1	4.08	160	4924	0.153846153846154	0.47
MYADM	4.01	161	91663	0.151206636500754	0.466666666666667
PARP10	3.98	162	84875	0.150075414781297	0.463333333333333
HK3	3.96	163	3101	0.149321266968326	0.46
PIEZO1	3.95	164	9780	0.14894419306184	0.456666666666667
LSP1	3.93	165	4046	0.148190045248869	0.453333333333333
LGALS3BP	3.85	166	3959	0.145173453996983	0.45
MAP3K11	3.84	167	4296	0.144796380090498	0.446666666666667
CYBA	3.83	168	1535	0.144419306184012	0.443333333333333
DDOST	3.82	169	1650	0.144042232277526	0.44
FLNA	3.81	170	2316	0.143665158371041	0.436666666666667
VASH1	3.79	171	22846	0.142911010558069	0.433333333333333
EDEM2	3.75	172	55741	0.141402714932127	0.43
SLC38A10	3.74	173	124565	0.141025641025641	0.426666666666667
TBC1D10C	3.73	174	374403	0.140648567119155	0.423333333333333
ADCY7	3.73	175	113	0.140648567119155	0.42
EMC10	3.71	176	284361	0.139894419306184	0.416666666666667
SELENON	3.69	177	57190	0.139140271493213	0.413333333333333
CD101	3.69	178	9398	0.139140271493213	0.41
EHBP1L1	3.69	179	254102	0.139140271493213	0.406666666666667
TMC6	3.68	180	11322	0.138763197586727	0.403333333333333
SLC16A3	3.66	181	9123	0.138009049773756	0.4
H6PD	3.64	182	9563	0.137254901960784	0.396666666666667
USF1	3.63	183	7391	0.136877828054299	0.393333333333333
UNC93B1	3.63	184	81622	0.136877828054299	0.39
SLC12A9	3.62	185	56996	0.136500754147813	0.386666666666667
THBS1	3.61	186	7057	0.136123680241327	0.383333333333333
NCLN	3.61	187	56926	0.136123680241327	0.38
ATG16L2	3.54	188	89849	0.133484162895928	0.376666666666667
ACADVL	3.53	189	37	0.133107088989442	0.373333333333333
AQP3	3.5	190	360	0.131975867269985	0.37
PLA2G15	3.49	191	23659	0.131598793363499	0.366666666666667
APH1A	3.46	192	51107	0.130467571644042	0.363333333333333
MARCO	3.45	193	8685	0.130090497737557	0.36
PYGB	3.45	194	5834	0.130090497737557	0.356666666666667
MAN1B1	3.43	195	11253	0.129336349924585	0.353333333333333
SDF4	3.41	196	51150	0.128582202111614	0.35
NUP210	3.41	197	23225	0.128582202111614	0.346666666666667
INPPL1	3.39	198	3636	0.127828054298643	0.343333333333333
HDAC6	3.39	199	10013	0.127828054298643	0.34
VASP	3.38	200	7408	0.127450980392157	0.336666666666667
PSD4	3.37	201	23550	0.127073906485671	0.333333333333333
SLCO2B1	3.35	202	11309	0.1263197586727	0.33
SPATA20	3.34	203	64847	0.125942684766214	0.326666666666667
ARAP1	3.31	204	116985	0.124811463046757	0.323333333333333
UBB	3.31	205	7314	0.124811463046757	0.32
TYK2	3.3	206	7297	0.124434389140271	0.316666666666667
PPP6R1	3.3	207	22870	0.124434389140271	0.313333333333333
MVP	3.26	208	9961	0.122926093514329	0.31
TMEM173	3.25	209	340061	0.122549019607843	0.306666666666667
FKBP8	3.25	210	23770	0.122549019607843	0.303333333333333
ITGAL	3.23	211	3683	0.121794871794872	0.3
TRIM28	3.21	212	10155	0.1210407239819	0.296666666666667
ABCC3	3.2	213	8714	0.120663650075415	0.293333333333333
UPF1	3.19	214	5976	0.120286576168929	0.29
USP19	3.17	215	10869	0.119532428355958	0.286666666666667
CIC	3.17	216	23152	0.119532428355958	0.283333333333333
TOLLIP	3.16	217	54472	0.119155354449472	0.28
GRK2	3.14	218	156	0.118401206636501	0.276666666666667
ZNF316	3.13	219	100131017	0.118024132730015	0.273333333333333
LTBR	3.13	220	4055	0.118024132730015	0.27
RETREG2	3.12	221	79137	0.117647058823529	0.266666666666667
AKT1	3.12	222	207	0.117647058823529	0.263333333333333
ADGRE5	3.12	223	976	0.117647058823529	0.26
TUBGCP6	3.11	224	85378	0.117269984917044	0.256666666666667
SLC15A3	3.1	225	51296	0.116892911010558	0.253333333333333
PNPLA2	3.08	226	57104	0.116138763197587	0.25
ITGA5	3.08	227	3678	0.116138763197587	0.246666666666667
SLC6A6	3.07	228	6533	0.115761689291101	0.243333333333333
FBP1	3.07	229	2203	0.115761689291101	0.24
ABHD2	3.06	230	11057	0.115384615384615	0.236666666666667
PROS1	3.05	231	5627	0.11500754147813	0.233333333333333
ITGAM	3.05	232	3684	0.11500754147813	0.23
BANF1	3.02	233	8815	0.113876319758673	0.226666666666667
NCSTN	3	234	23385	0.113122171945701	0.223333333333333
INF2	3	235	64423	0.113122171945701	0.22
PDIA6	2.99	236	10130	0.112745098039216	0.216666666666667
HCAR2	2.98	237	338442	0.11236802413273	0.213333333333333
SCAMP2	2.97	238	10066	0.111990950226244	0.21
BSDC1	2.96	239	55108	0.111613876319759	0.206666666666667
LRP1	2.95	240	4035	0.111236802413273	0.203333333333333
CLUH	2.95	241	23277	0.111236802413273	0.2
ACLY	2.95	242	47	0.111236802413273	0.196666666666667
PFKL	2.95	243	5211	0.111236802413273	0.193333333333333
HLA-B	2.93	244	3106	0.110482654600302	0.19
SYMPK	2.93	245	8189	0.110482654600302	0.186666666666667
RFX5	2.91	246	5993	0.10972850678733	0.183333333333333
TOR3A	2.91	247	64222	0.10972850678733	0.18
GANAB	2.89	248	23193	0.108974358974359	0.176666666666667
GSN	2.87	249	2934	0.108220211161388	0.173333333333333
TGOLN2	2.86	250	10618	0.107843137254902	0.17
PIGK	2.85	251	10026	0.107466063348416	0.166666666666667
TMED9	2.85	252	54732	0.107466063348416	0.163333333333333
TMEM273	2.85	253	170371	0.107466063348416	0.16
RNASEL	2.84	254	6041	0.107088989441931	0.156666666666667
STEAP3	2.84	255	55240	0.107088989441931	0.153333333333333
GNB2	2.84	256	2783	0.107088989441931	0.15
ARHGEF10L	2.82	257	55160	0.106334841628959	0.146666666666667
SH3TC1	2.82	258	54436	0.106334841628959	0.143333333333333
TLE5	2.82	259	166	0.106334841628959	0.14
BST2	2.82	260	684	0.106334841628959	0.136666666666667
UNC50	2.8	261	25972	0.105580693815988	0.133333333333333
BAX	2.8	262	581	0.105580693815988	0.13
ARID5A	2.79	263	10865	0.105203619909502	0.126666666666667
GIGYF1	2.79	264	64599	0.105203619909502	0.123333333333333
CPT1A	2.78	265	1374	0.104826546003017	0.12
HLA-E	2.77	266	3133	0.104449472096531	0.116666666666667
TMEM109	2.77	267	79073	0.104449472096531	0.113333333333333
TAOK2	2.77	268	9344	0.104449472096531	0.11
PLEC	2.76	269	5339	0.104072398190045	0.106666666666667
KSR1	2.76	270	8844	0.104072398190045	0.103333333333333
SMARCD2	2.76	271	6603	0.104072398190045	0.1
CORO1B	2.75	272	57175	0.10369532428356	0.0966666666666667
COLGALT1	2.75	273	79709	0.10369532428356	0.0933333333333333
B3GNT7	2.74	274	93010	0.103318250377074	0.09
RHBDD2	2.74	275	57414	0.103318250377074	0.0866666666666667
C2CD2L	2.74	276	9854	0.103318250377074	0.0833333333333333
TNFAIP2	2.74	277	7127	0.103318250377074	0.08
TBC1D9B	2.73	278	23061	0.102941176470588	0.0766666666666667
CYBC1	2.73	279	79415	0.102941176470588	0.0733333333333333
ATP6AP1	2.72	280	537	0.102564102564103	0.07
ANKRD52	2.71	281	283373	0.102187028657617	0.0666666666666667
DHRS7	2.71	282	51635	0.102187028657617	0.0633333333333333
GRN	2.71	283	2896	0.102187028657617	0.06
RARA	2.7	284	5914	0.101809954751131	0.0566666666666667
PLOD1	2.69	285	5351	0.101432880844646	0.0533333333333333
C1QC	2.69	286	714	0.101432880844646	0.05
ATP10A	2.69	287	57194	0.101432880844646	0.0466666666666667
TSPAN3	2.69	288	10099	0.101432880844646	0.0433333333333333
SNRNP70	2.69	289	6625	0.101432880844646	0.04
DAZAP1	2.68	290	26528	0.10105580693816	0.0366666666666667
TMEM184B	2.68	291	25829	0.10105580693816	0.0333333333333333
XAB2	2.67	292	56949	0.100678733031674	0.03
GGA1	2.67	293	26088	0.100678733031674	0.0266666666666667
MBD6	2.66	294	114785	0.100301659125189	0.0233333333333333
MIF4GD	2.66	295	57409	0.100301659125189	0.02
ARHGDIA	2.66	296	396	0.100301659125189	0.0166666666666667
PIP5K1C	2.65	297	23396	0.0999245852187029	0.0133333333333333
PDIA4	2.64	298	9601	0.0995475113122172	0.01
MPZL2	2.64	299	10205	0.0995475113122172	0.00666666666666667
KHSRP	2.64	300	8570	0.0995475113122172	0.00333333333333333
