Beid	BexlcudeGM	BidGM	gene.BB	gene.BP	gene.B15	Bgene
23368	0	23368	NA	NA	PPP1R13B	PPP1R13B
23385	0	23385	NCSTN	NA	NA	NCSTN
23396	0	23396	PIP5K1C	NA	NA	PIP5K1C
23462	0	23462	HEY1	NA	NA	HEY1
23492	0	23492	NA	NA	CBX7	CBX7
23500	0	23500	NA	NA	DAAM2	DAAM2
23550	0	23550	PSD4	NA	NA	PSD4
2357	0	2357	NA	NA	FPR1	FPR1
23643	0	23643	NA	NA	LY96	LY96
23644	0	23644	NA	NA	EDC4	EDC4
23650	0	23650	NA	NA	TRIM29	TRIM29
23659	0	23659	PLA2G15	NA	NA	PLA2G15
23770	0	23770	FKBP8	NA	NA	FKBP8
241	0	241	NA	NA	ALOX5AP	ALOX5AP
24144	0	24144	NA	NA	TFIP11	TFIP11
247	0	247	NA	ALOX15B	NA	ALOX15B
2502	1	NA	FTH1P10	NA	NA	FTH1P10
2523	0	2523	NA	NA	FUT1	FUT1
253128	1	NA	NA	LINC00612	NA	LINC00612
2537	0	2537	NA	NA	IFI6	IFI6
254102	0	254102	EHBP1L1	NA	NA	EHBP1L1
2548	0	2548	GAA	NA	NA	GAA
2568	0	2568	GABRP	NA	NA	GABRP
2580	0	2580	NA	NA	GAK	GAK
25802	0	25802	NA	NA	LMOD1	LMOD1
25829	0	25829	TMEM184B	NA	NA	TMEM184B
25859	1	NA	PART1	NA	NA	PART1
259197	0	259197	NA	NCR3	NA	NCR3
25924	0	25924	MYRIP	NA	NA	MYRIP
25966	0	25966	NA	NA	C2CD2	C2CD2
25972	0	25972	UNC50	NA	NA	UNC50
25989	0	25989	NA	NA	ULK3	ULK3
26036	0	26036	NA	NA	ZNF451	ZNF451
260436	0	260436	FDCSP	NA	FDCSP	FDCSP
26051	0	26051	NA	NA	PPP1R16B	PPP1R16B
26064	0	26064	RAI14	NA	NA	RAI14
26088	0	26088	GGA1	NA	NA	GGA1
2621	0	2621	NA	NA	GAS6	GAS6
2624	0	2624	NA	NA	GATA2	GATA2
2625	0	2625	NA	GATA3	NA	GATA3
26253	0	26253	NA	NA	CLEC4E	CLEC4E
26353	0	26353	HSPB8	NA	NA	HSPB8
2644	0	2644	NA	NA	GCHFR	GCHFR
26472	0	26472	NA	NA	PPP1R14B	PPP1R14B
26528	0	26528	DAZAP1	NA	NA	DAZAP1
26768	1	NA	NA	SNORA73B	NA	SNORA73B
26823	1	NA	NA	NA	RNU12	RNU12
26824	1	NA	NA	NA	RNU11	RNU11
26835	1	NA	NA	RNU4-1	NA	RNU4-1
26863	1	NA	NA	RNVU1-18	NA	RNVU1-18
26864	1	NA	NA	RNVU1-7	NA	RNVU1-7
26865	1	NA	NA	RNU1-27P	NA	RNU1-27P
26866	1	NA	NA	RNU1-28P	NA	RNU1-28P
26869	1	NA	NA	RNU1-3	NA	RNU1-3
26870	1	NA	NA	RNU1-2	NA	RNU1-2
26871	1	NA	NA	U1	NA	U1
27071	0	27071	NA	NA	DAPP1	DAPP1
27106	0	27106	NA	NA	ARRDC2	ARRDC2
27147	0	27147	NA	NA	DENND2A	DENND2A
27166	0	27166	NA	NA	PRELID1	PRELID1
27284	0	27284	NA	NA	SULT1B1	SULT1B1
273	0	273	NA	AMPH	NA	AMPH
27352	0	27352	NA	NA	SGSM3	SGSM3
27445	0	27445	PCLO	NA	NA	PCLO
2783	0	2783	GNB2	NA	NA	GNB2
2819	0	2819	GPD1	NA	NA	GPD1
283120	1	NA	H19	NA	NA	H19
283316	0	283316	NA	CD163L1	NA	CD163L1
283373	0	283373	ANKRD52	NA	NA	ANKRD52
28385	1	NA	NA	IGHV6-1	NA	IGHV6-1
28388	1	NA	NA	IGHV5-51	NA	IGHV5-51
28391	1	NA	NA	IGHV4-61	NA	IGHV4-61
28392	1	NA	NA	IGHV4-59	NA	IGHV4-59
28393	1	NA	NA	IGHV4-55	NA	IGHV4-55
28394	1	NA	NA	IGHV4-39	NA	IGHV4-39
28396	1	NA	NA	IGHV4-31	NA	IGHV4-31
28400	1	NA	NA	IGHV4-28	NA	IGHV4-28
28401	1	NA	NA	IGHV4-4	NA	IGHV4-4
28402	1	NA	NA	IGHV3-11	NA	IGHV3-11
28410	1	NA	NA	IGHV3-72	NA	IGHV3-72
28412	1	NA	NA	IGHV3-66	NA	IGHV3-66
28414	1	NA	NA	IGHV3-64	NA	IGHV3-64
28416	1	NA	NA	IGHV3-62	NA	IGHV3-62
284185	1	NA	NA	LINC00482	NA	LINC00482
284194	1	LGALS9B	NA	LGALS9B	NA	LGALS9B
28420	1	NA	NA	IGHV3-53	NA	IGHV3-53
28423	1	NA	NA	IGHV3-49	NA	IGHV3-49
28424	1	NA	NA	IGHV3-48	NA	IGHV3-48
28426	1	NA	NA	IGHV3-43	NA	IGHV3-43
28434	1	NA	NA	IGHV3-33	NA	IGHV3-33
284340	0	284340	CXCL17	NA	NA	CXCL17
284361	0	284361	EMC10	NA	NA	EMC10
284367	1	NA	NA	SIGLEC17P	NA	SIGLEC17P
28439	1	NA	NA	IGHV3-30	NA	IGHV3-30
28444	1	NA	NA	IGHV3-21	NA	IGHV3-21
28445	1	NA	NA	IGHV3-20	NA	IGHV3-20
28448	1	NA	NA	IGHV3-15	NA	IGHV3-15
28449	1	NA	NA	IGHV3-13	NA	IGHV3-13
28452	1	NA	NA	IGHV3-7	NA	IGHV3-7
28454	1	NA	NA	IGHV2-70	NA	IGHV2-70
28455	1	NA	NA	IGHV2-26	NA	IGHV2-26
28457	1	NA	NA	IGHV2-5	NA	IGHV2-5
28458	1	NA	NA	IGHV1-69-2	NA	IGHV1-69-2
28465	1	NA	NA	IGHV1-46	NA	IGHV1-46
28467	1	NA	NA	IGHV1-24	NA	IGHV1-24
28474	1	NA	NA	IGHV1-2	NA	IGHV1-2
28475	1	NA	NA	IGHJ6	NA	IGHJ6
28476	1	NA	NA	IGHJ5	NA	IGHJ5
28477	1	NA	NA	IGHJ4	NA	IGHJ4
28479	1	NA	NA	IGHJ3	NA	IGHJ3
28481	1	NA	NA	IGHJ2	NA	IGHJ2
2852	0	2852	NA	GPER1	NA	GPER1
28558	1	NA	NA	TRBV29-1	NA	TRBV29-1
285590	0	285590	NA	SH3PXD2B	SH3PXD2B	SH3PXD2B
285852	0	285852	NA	NA	TREML4	TREML4
286343	0	286343	LURAP1L	NA	NA	LURAP1L
286411	1	NA	LINC00632	NA	NA	LINC00632
2867	0	2867	NA	NA	FFAR2	FFAR2
2877	0	2877	NA	NA	GPX2	GPX2
28772	1	NA	NA	IGLV10-54	NA	IGLV10-54
28775	1	NA	NA	IGLV7-46	NA	IGLV7-46
28778	1	NA	NA	IGLV6-57	NA	IGLV6-57
28793	1	NA	NA	IGLV3-25	NA	IGLV3-25
28796	1	NA	NA	IGLV3-21	NA	IGLV3-21
28799	1	NA	NA	IGLV3-16	NA	IGLV3-16
28803	1	NA	NA	IGLV3-10	NA	IGLV3-10
28809	1	NA	NA	IGLV3-1	NA	IGLV3-1
28810	1	NA	NA	IGLV2-34	NA	IGLV2-34
28812	1	NA	NA	IGLV2-28	NA	IGLV2-28
28815	1	NA	NA	IGLV2-14	NA	IGLV2-14
28816	1	NA	NA	IGLV2-11	NA	IGLV2-11
28820	1	NA	NA	IGLV1-51	NA	IGLV1-51
28824	1	NA	NA	IGLV1-41	NA	IGLV1-41
28826	1	NA	NA	IGLV1-36	NA	IGLV1-36
28831	1	NA	NA	IGLJ3	NA	IGLJ3
2887	0	2887	NA	GRB10	NA	GRB10
28874	1	NA	NA	IGKV3D-20	NA	IGKV3D-20
28878	1	NA	NA	IGKV2D-40	NA	IGKV2D-40
28882	1	NA	NA	IGKV2D-29	NA	IGKV2D-29
28883	1	NA	NA	IGKV2D-28	NA	IGKV2D-28
28893	1	NA	NA	IGKV1D-39	NA	IGKV1D-39
28894	1	NA	NA	IGKV1D-37	NA	IGKV1D-37
28896	1	NA	NA	IGKV1D-33	NA	IGKV1D-33
28902	1	NA	NA	IGKV1D-13	NA	IGKV1D-13
28907	1	NA	NA	IGKV5-2	NA	IGKV5-2
28908	1	NA	NA	IGKV4-1	NA	IGKV4-1
28912	1	NA	NA	IGKV3-20	NA	IGKV3-20
28914	1	NA	NA	IGKV3-11	NA	IGKV3-11
28915	1	NA	NA	IGKV3-7	NA	IGKV3-7
28916	1	NA	NA	IGKV2-40	NA	IGKV2-40
28920	1	NA	NA	IGKV2-29	NA	IGKV2-29
28921	1	NA	NA	IGKV2-28	NA	IGKV2-28
28922	1	NA	NA	IGKV2-26	NA	IGKV2-26
28923	1	NA	NA	IGKV2-24	NA	IGKV2-24
28930	1	NA	NA	IGKV1-39	NA	IGKV1-39
28931	1	NA	NA	IGKV1-37	NA	IGKV1-37
28933	1	NA	NA	IGKV1-33	NA	IGKV1-33
28937	1	NA	NA	IGKV1-17	NA	IGKV1-17
28940	1	NA	NA	IGKV1-12	NA	IGKV1-12
28941	1	NA	NA	IGKV1-9	NA	IGKV1-9
2896	0	2896	GRN	NA	NA	GRN
28983	0	28983	TMPRSS11E	NA	NA	TMPRSS11E
291	0	291	NA	NA	SLC25A4	SLC25A4
2934	1	GSN	GSN	NA	NA	GSN
2944	0	2944	NA	GSTM1	NA	GSTM1
29781	0	29781	NA	NA	NCAPH2	NCAPH2
29920	0	29920	NA	NA	PYCR2	PYCR2
29931	1	NA	NA	NA	LINC00312	LINC00312
3	1	NA	NA	A2MP1	NA	A2MP1
3007	0	3007	HIST1H1D	NA	NA	HIST1H1D
3008	0	3008	HIST1H1E	NA	NA	HIST1H1E
3039	0	3039	NA	NA	HBA1	HBA1
30811	0	30811	HUNK	NA	NA	HUNK
3101	0	3101	HK3	NA	NA	HK3
3106	0	3106	HLA-B	NA	NA	HLA-B
3118	0	3118	NA	HLA-DQA2	NA	HLA-DQA2
3128	1	NA	NA	HLA-DRB6	NA	HLA-DRB6
3133	0	3133	HLA-E	NA	NA	HLA-E
3137	1	NA	NA	NA	HLA-J	HLA-J
317684	1	NA	MAPK6P3	NA	NA	MAPK6P3
317772	0	317772	HIST2H2AB	NA	NA	HIST2H2AB
3346	0	3346	HTN1	NA	NA	HTN1
3347	0	3347	HTN3	NA	NA	HTN3
338339	0	338339	NA	NA	CLEC4D	CLEC4D
338442	0	338442	HCAR2	NA	NA	HCAR2
339788	1	NA	NA	LINC00298	NA	LINC00298
339789	1	NA	NA	LINC00299	NA	LINC00299
339855	0	339855	NA	KY	NA	KY
340061	0	340061	TMEM173	NA	NA	TMEM173
340206	1	NA	NA	NA	TREML3P	TREML3P
341640	0	341640	FREM2	NA	FREM2	FREM2
342035	0	342035	NA	GLDN	NA	GLDN
3433	0	3433	NA	NA	IFIT2	IFIT2
3434	0	3434	NA	NA	IFIT1	IFIT1
3437	0	3437	NA	NA	IFIT3	IFIT3
3458	0	3458	NA	IFNG	NA	IFNG
348110	0	348110	NA	ARPIN	NA	ARPIN
3485	0	3485	NA	IGFBP2	NA	IGFBP2
3486	0	3486	NA	IGFBP3	NA	IGFBP3
3500	1	NA	NA	IGHG1	NA	IGHG1
3502	1	NA	NA	IGHG3	NA	IGHG3
3503	1	NA	NA	IGHG4	NA	IGHG4
3505	1	NA	NA	IGHGP	NA	IGHGP
353345	0	353345	NA	NA	GPR141	GPR141
3538	1	NA	IGLC2	IGLC2	NA	IGLC2
3539	1	NA	NA	IGLC3	NA	IGLC3
3557	0	3557	NA	NA	IL1RN	IL1RN
3561	0	3561	NA	NA	IL2RG	IL2RG
3568	0	3568	NA	IL5RA	NA	IL5RA
3576	0	3576	NA	CXCL8	NA	CXCL8
3579	0	3579	NA	CXCR2	NA	CXCR2
3586	0	3586	NA	IL10	NA	IL10
360	0	360	AQP3	NA	NA	AQP3
362	0	362	AQP5	NA	NA	AQP5
3627	0	3627	NA	CXCL10	CXCL10	CXCL10
3632	0	3632	NA	NA	INPP5A	INPP5A
3636	0	3636	INPPL1	NA	NA	INPPL1
366	0	366	NA	NA	AQP9	AQP9
3678	0	3678	ITGA5	NA	NA	ITGA5
3683	0	3683	ITGAL	NA	NA	ITGAL
3684	0	3684	ITGAM	NA	NA	ITGAM
3690	0	3690	NA	NA	ITGB3	ITGB3
3696	0	3696	NA	ITGB8	NA	ITGB8
37	0	37	ACADVL	NA	NA	ACADVL
3704	0	3704	NA	NA	ITPA	ITPA
3708	0	3708	NA	NA	ITPR1	ITPR1
3732	0	3732	NA	NA	CD82	CD82
374	0	374	NA	AREG	NA	AREG
374403	0	374403	TBC1D10C	NA	NA	TBC1D10C
3759	0	3759	NA	NA	KCNJ2	KCNJ2
3777	0	3777	NA	NA	KCNK3	KCNK3
3778	0	3778	NA	KCNMA1	NA	KCNMA1
378707	1	NA	RN7SL3	NA	NA	RN7SL3
378938	1	NA	NA	MALAT1	NA	MALAT1
3811	1	KIR3DL1 	NA	KIR3DL1	NA	KIR3DL1
3820	0	3820	NA	KLRB1	NA	KLRB1
3872	0	3872	KRT17	NA	KRT17	KRT17
387895	1	NA	NA	LINC00944	NA	LINC00944
388336	0	388336	SHISA6	NA	NA	SHISA6
389118	0	389118	NA	NA	CDHR4	CDHR4
390732	1	NA	NA	CES1P2	NA	CES1P2
3908	0	3908	NA	LAMA2	NA	LAMA2
3934	0	3934	LCN2	NA	NA	LCN2
3936	0	3936	NA	LPL	NA	LPL
394263	0	394263	MUC21	NA	NA	MUC21
3954	0	3954	NA	NA	LETM1	LETM1
3959	0	3959	LGALS3BP	NA	NA	LGALS3BP
396	0	396	ARHGDIA	NA	NA	ARHGDIA
3982	0	3982	NA	LIM2	NA	LIM2
399	0	399	NA	NA	RHOH	RHOH
399937	1	NA	NA	TRIM51BP	NA	TRIM51BP
400410	0	400410	NA	NA	ST20	ST20
400550	1	NA	NA	NA	FENDRR	FENDRR
400617	1	NA	NA	NA	KCNJ2-AS1	KCNJ2-AS1
400668	0	400668	NA	PRSS57	NA	PRSS57
401562	0	401562	NA	LCNL1	NA	LCNL1
4035	0	4035	LRP1	NA	NA	LRP1
4046	0	4046	LSP1	NA	NA	LSP1
4055	0	4055	LTBR	NA	NA	LTBR
4084	0	4084	NA	NA	MXD1	MXD1
4097	0	4097	NA	NA	MAFG	MAFG
4125	0	4125	MAN2B1	NA	NA	MAN2B1
4128	0	4128	NA	MAOA	NA	MAOA
414332	0	414332	NA	NA	LCN10	LCN10
415	0	415	NA	NA	ARSE	ARSE
4236	0	4236	NA	NA	MFAP1	MFAP1
4242	0	4242	NA	NA	MFNG	MFNG
4296	0	4296	MAP3K11	NA	NA	MAP3K11
4311	0	4311	NA	MME	NA	MME
4317	0	4317	NA	NA	MMP8	MMP8
4327	0	4327	NA	MMP19	NA	MMP19
4332	0	4332	NA	NA	MNDA	MNDA
4360	0	4360	NA	MRC1	NA	MRC1
440068	0	440068	NA	NA	CARD17	CARD17
445347	1	NA	NA	NA	TARP	TARP
4477	0	4477	MSMB	NA	NA	MSMB
4481	0	4481	NA	MSR1	NA	MSR1
4541	0	4541	NA	MT-ND6	NA	MT-ND6
4550	1	NA	MT-RNR2	NA	NA	MT-RNR2
4599	0	4599	NA	NA	MX1	MX1
4600	0	4600	NA	NA	MX2	MX2
4603	0	4603	NA	MYBL1	NA	MYBL1
4642	0	4642	NA	NA	MYO1D	MYO1D
4674	0	4674	NA	NAP1L2	NA	NAP1L2
4680	0	4680	CEACAM6	NA	NA	CEACAM6
4683	0	4683	NA	NA	NBN	NBN
47	0	47	ACLY	NA	NA	ACLY
4776	0	4776	NA	NA	NFATC4	NFATC4
4781	0	4781	NFIB	NA	NA	NFIB
4855	0	4855	NA	NA	NOTCH4	NOTCH4
4856	0	4856	NA	CCN3	NA	CCN3
4914	0	4914	NA	NTRK1	NA	NTRK1
4915	0	4915	NA	NA	NTRK2	NTRK2
4923	0	4923	NA	NTSR1	NA	NTSR1
4924	0	4924	NUCB1	NA	NA	NUCB1
4938	0	4938	NA	NA	OAS1	OAS1
4939	0	4939	NA	NA	OAS2	OAS2
4940	0	4940	NA	NA	OAS3	OAS3
4973	0	4973	NA	NA	OLR1	OLR1
49860	0	49860	CRNN	NA	NA	CRNN
5_8S_rRNA	1	NA	NA	5_8S_rRNA	NA	5_8S_rRNA
50486	0	50486	NA	G0S2	NA	G0S2
50506	0	50506	DUOX2	NA	NA	DUOX2
5055	0	5055	SERPINB2	NA	NA	SERPINB2
50856	0	50856	NA	NA	CLEC4A	CLEC4A
51061	0	51061	NA	NA	TXNDC11	TXNDC11
51083	0	51083	NA	NA	GAL	GAL
51107	0	51107	APH1A	NA	NA	APH1A
51150	0	51150	SDF4	NA	NA	SDF4
51191	0	51191	NA	NA	HERC5	HERC5
51257	0	51257	NA	NA	MARCH2	MARCH2
51285	0	51285	NA	NA	RASL12	RASL12
51293	0	51293	NA	NA	CD320	CD320
51296	0	51296	SLC15A3	NA	NA	SLC15A3
51338	0	51338	NA	MS4A4A	NA	MS4A4A
51393	0	51393	TRPV2	NA	NA	TRPV2
51438	0	51438	NA	MAGEE1	NA	MAGEE1
51454	0	51454	GULP1	NA	NA	GULP1
51477	0	51477	NA	NA	ISYNA1	ISYNA1
