Proteins	fd	P_value	P_value_adjust	eid_test	abslogFC	rank	weightFC	weightR
P28799	0.503891292	0.00020717	0.002308048	2896	0.503891292	58	0.137646714835933	0.525
P00751	0.503157969	2.53992e-06	6.48088e-05	629	0.503157969	59	0.137446394839406	0.516666666666667
P24593	-0.499882921	0.000363116	0.00340594	3488	0.499882921	60	0.136551758227726	0.508333333333333
P46109	-0.492805538	0.004946117	0.030565458	1399	0.492805538	61	0.134618447342913	0.5
Q6DHV5	-0.490271574	0.000628421	0.005523125	387707	0.490271574	62	0.133926250780579	0.491666666666667
Q15485	-0.475169397	0.000748173	0.006425957	2220	0.475169397	63	0.129800827134796	0.483333333333333
P04003	0.468911725	5.33767e-07	1.68644e-05	722	0.468911725	64	0.128091434638844	0.475
P01344	-0.467186982	3.96411e-05	0.000653252	3481	0.467186982	65	0.127620290938495	0.466666666666667
P80108	-0.451765377	5.6299e-05	0.000873186	2822	0.451765377	66	0.123407609950653	0.458333333333333
Q9UK55	0.44978679	6.76954e-06	0.0001373	51156	0.44978679	67	0.122867124324307	0.45
Q92820	0.449323854	0.004135814	0.026171429	8836	0.449323854	68	0.122740665263412	0.441666666666667
P12259	0.449065873	2.98592e-06	6.94666e-05	2153	0.449065873	69	0.122670193243546	0.433333333333333
Q15113	-0.447132785	8.40933e-05	0.001187817	5118	0.447132785	70	0.122142136464409	0.425
P0C0L4	0.446150761	0.005615988	0.034171128	720	0.446150761	71	0.121873879442238	0.416666666666667
Q13201	-0.444062345	0.000239349	0.002629512	22915	0.444062345	72	0.121303392104642	0.408333333333333
P22105	-0.432052097	3.10741e-06	7.02275e-05	7148	0.432052097	73	0.118022582914622	0.4
P07359	-0.431008851	0.000838584	0.006909581	2811	0.431008851	74	0.11773760203294	0.391666666666667
P06396	-0.425224895	0.000288136	0.00299889	2934	0.425224895	75	0.116157613343325	0.383333333333333
P17936	-0.422370332	5.97816e-05	0.00090937	3486	0.422370332	76	0.115377839559812	0.375
P15151	0.4214467	0.002718725	0.018514078	5817	0.4214467	77	0.11512553333318	0.366666666666667
P54108	-0.420610095	0.000814494	0.006781736	10321	0.420610095	78	0.1148970000529	0.358333333333333
P01009	0.41456106	0.000176076	0.001989659	5265	0.41456106	79	0.11324460040064	0.35
P19823	-0.413418414	5.56367e-10	1.4714e-07	3698	0.413418414	80	0.112932466671366	0.341666666666667
P02751	-0.410880112	0.00012265	0.001539944	2335	0.410880112	81	0.1122390851085	0.333333333333333
Q9NZP8	0.406478641	0.000148957	0.001785227	51279	0.406478641	82	0.111036746363588	0.325
P27918	-0.401512294	0.000323649	0.003185476	5199	0.401512294	83	0.109680101864787	0.316666666666667
P02647	-0.395309757	0.000172238	0.001982162	335	0.395309757	84	0.107985770457889	0.308333333333333
P02652	-0.393282312	0.000130845	0.00161716	336	0.393282312	85	0.107431938414765	0.3
P02768	-0.387782956	2.27765e-08	1.20108e-06	213	0.387782956	86	0.105929693190187	0.291666666666667
P40197	-0.380161809	0.000313727	0.00314124	2814	0.380161809	87	0.103847843663342	0.283333333333333
P07195	0.379403357	0.00311748	0.02072207	3945	0.379403357	88	0.103640659241189	0.275
P09486	-0.374095979	0.00360737	0.023361428	6678	0.374095979	89	0.102190856163242	0.266666666666667
P01031	0.372520449	0.000297748	0.003032706	727	0.372520449	90	0.101760472602207	0.258333333333333
P15169	0.371259554	0.000269479	0.002842102	1369	0.371259554	91	0.101416037091496	0.25
P08185	0.369708813	2.82217e-06	6.76466e-05	866	0.369708813	92	0.100992425079142	0.241666666666667
P07737	-0.369176503	0.004643776	0.029152591	5216	0.369176503	93	0.100847015297434	0.233333333333333
A0A0B4J1V6	0.367049191	0.002380417	0.016516754	28409	0.367049191	94	0.100265902837505	0.225
Q12907	0.364396096	0.000101594	0.001317397	10960	0.364396096	95	0.099541163560015	0.216666666666667
Q14624	0.363287724	9.30047e-05	0.001246894	3700	0.363287724	96	0.0992383923729786	0.208333333333333
P43652	-0.361116593	0.001280914	0.010031715	173	0.361116593	97	0.0986453099872079	0.2
P04180	-0.347415935	3.45046e-05	0.000590184	3931	0.347415935	98	0.0949027357559575	0.191666666666667
Q5JXB2	-0.345786934	3.92373e-06	8.62131e-05	389898	0.345786934	99	0.0944577456565564	0.183333333333333
P33908	0.340062958	1.24992e-05	0.000219708	4121	0.340062958	100	0.09289414155244	0.175
Q6UX71	-0.337013169	1.21127e-05	0.000217753	84898	0.337013169	101	0.0920610383743189	0.166666666666667
P02776	-0.334398347	0.002434838	0.016747449	5196	0.334398347	102	0.0913467540358216	0.158333333333333
P16070	-0.333641515	0.001894224	0.013742367	960	0.333641515	103	0.0911400121449879	0.15
P01019	0.331676891	0.001549273	0.011783414	183	0.331676891	104	0.0906033407561761	0.141666666666667
Q04756	-0.323066979	0.000137711	0.001675841	3083	0.323066979	105	0.0882513927851711	0.133333333333333
P13987	0.321307722	0.006351719	0.038352745	966	0.321307722	106	0.0877708209823901	0.125
P00450	0.310421734	0.000665963	0.005788752	1356	0.310421734	107	0.0847971230643411	0.116666666666667
P02775	-0.309987073	0.006796002	0.04072453	5473	0.309987073	108	0.0846783878139663	0.108333333333333
P17813	-0.305585187	0.004945143	0.030565458	2022	0.305585187	109	0.0834759357045493	0.1
P14543	0.294361903	0.000326199	0.003185476	4811	0.294361903	110	0.0804100994878943	0.0916666666666667
P11021	-0.293543551	0.000404588	0.003721265	3309	0.293543551	111	0.0801865523336414	0.0833333333333333
P19320	0.293258365	9.71721e-05	0.001281053	7412	0.293258365	112	0.0801086487924601	0.075
P04004	0.285021583	1.0933e-05	0.00021001	7448	0.285021583	113	0.0778586278035684	0.0666666666666667
P55058	-0.282658835	0.000755517	0.006425957	5360	0.282658835	114	0.077213201884628	0.0583333333333333
P05156	0.265821106	8.79433e-05	0.001199365	3426	0.265821106	115	0.0726136818711968	0.05
P36955	-0.261686722	0.000365999	0.00340594	5176	0.261686722	116	0.0714843026092304	0.0416666666666667
Q12805	-0.257402502	8.75717e-05	0.001199365	2202	0.257402502	117	0.0703139930246099	0.0333333333333333
P19827	-0.257399331	2.45448e-06	6.47164e-05	3697	0.257399331	118	0.0703131268105283	0.025
P07357	0.253914993	0.00171605	0.012685943	731	0.253914993	119	0.0693613189767902	0.0166666666666667
O95445	-0.250162514	0.002317829	0.016224801	55937	0.250162514	120	0.0683362637415812	0.00833333333333333
