PPIeid	PPIGenes	weight	PPIexlcudeGM	PPIidGM
80273	GRPEL1	1	0	80273
80777	CYB5B	1	0	80777
83729	INHBE	1	0	83729
8453	CUL2	1	0	8453
84720	PIGO	1	0	84720
84726	PRRC2B	1	0	84726
8480	RAE1	1	0	8480
84858	ZNF503	1	0	84858
8540	AGPS	1	0	8540
8546	AP3B1	1	0	8546
8614	STC2	1	0	8614
8733	GPAA1	1	0	8733
8737	RIPK1	1	0	8737
8754	ADAM9	1	0	8754
8761	PABPC4	1	0	8761
8836	GGH	1	0	8836
8975	USP13	1	0	8975
89874	SLC25A21	1	0	89874
90161	HS6ST2	1	0	90161
9047	SCAP	1	0	9047
90580	C19orf52	1	0	90580
9136	RRP9	1	0	9136
91754	NEK9	1	0	91754
9188	DDX21	1	0	9188
91942	NDUFAF2	1	0	91942
92105	INTS4	1	0	92105
92840	REEP6	1	0	92840
9368	SLC9A3R1	1	0	9368
94005	PIGS	1	0	94005
9470	EIF4E2	1	0	9470
949	SCARB1	1	0	949
9510	ADAMTS1	1	0	9510
9512	PMPCB	1	0	9512
9518	GDF15	1	0	9518
9529	BAG5	1	0	9529
9648	GCC2	1	0	9648
9653	HS2ST1	1	0	9653
9659	PDE4DIP	1	0	9659
9662	CEP135	1	0	9662
9755	TBKBP1	1	0	9755
9818	NUP58	1	0	9818
9857	CEP350	1	0	9857
9868	TOMM70	1	0	9868
9898	UBAP2L	1	0	9898
9908	G3BP2	1	0	9908
9978	RBX1	1	0	9978
