DrugName,GeneTarget,Num,PathwayID,PathwayName
vorinostat,HDAC2,14,hsa04110;hsa04213;hsa04330;hsa04919;hsa05016;hsa05031;hsa05034;hsa05165;hsa05169;hsa05200;hsa05202;hsa05203;hsa05206;hsa05220,cell cycle;longevity regulating pathway - multiple species;notch signaling pathway;thyroid hormone signaling pathway;huntington disease;amphetamine addiction;alcoholism;human papillomavirus infection;epstein-barr virus infection;pathways in cancer;transcriptional misregulation in cancer;viral carcinogenesis;micrornas in cancer;chronic myeloid leukemia
vorinostat,HDAC3,3,hsa04919;hsa05034;hsa05203,thyroid hormone signaling pathway;alcoholism;viral carcinogenesis
vorinostat,HDAC6,2,hsa05034;hsa05203,alcoholism;viral carcinogenesis
vorinostat,HDAC8,2,hsa05034;hsa05203,alcoholism;viral carcinogenesis
olanzapine,HTR2A,5,hsa04020;hsa04080;hsa04540;hsa04726;hsa04750,calcium signaling pathway;neuroactive ligand-receptor interaction;gap junction;serotonergic synapse;inflammatory mediator regulation of trp channels
olanzapine,DRD2,8,hsa04015;hsa04024;hsa04080;hsa04540;hsa04728;hsa05012;hsa05030;hsa05034,rap1 signaling pathway;camp signaling pathway;neuroactive ligand-receptor interaction;gap junction;dopaminergic synapse;parkinson disease;cocaine addiction;alcoholism
olanzapine,DRD1,10,hsa04020;hsa04024;hsa04080;hsa04540;hsa04728;hsa05012;hsa05030;hsa05031;hsa05032;hsa05034,calcium signaling pathway;camp signaling pathway;neuroactive ligand-receptor interaction;gap junction;dopaminergic synapse;parkinson disease;cocaine addiction;amphetamine addiction;morphine addiction;alcoholism
olanzapine,DRD5,4,hsa04020;hsa04024;hsa04080;hsa04728,calcium signaling pathway;camp signaling pathway;neuroactive ligand-receptor interaction;dopaminergic synapse
olanzapine,DRD3,2,hsa04080;hsa04728,neuroactive ligand-receptor interaction;dopaminergic synapse
olanzapine,DRD4,2,hsa04080;hsa04728,neuroactive ligand-receptor interaction;dopaminergic synapse
olanzapine,HTR2C,5,hsa04020;hsa04080;hsa04540;hsa04726;hsa04750,calcium signaling pathway;neuroactive ligand-receptor interaction;gap junction;serotonergic synapse;inflammatory mediator regulation of trp channels
olanzapine,HTR3A,2,hsa04726;hsa04742,serotonergic synapse;taste transduction
olanzapine,HTR6,4,hsa04020;hsa04024;hsa04080;hsa04726,calcium signaling pathway;camp signaling pathway;neuroactive ligand-receptor interaction;serotonergic synapse
olanzapine,HRH1,3,hsa04020;hsa04080;hsa04750,calcium signaling pathway;neuroactive ligand-receptor interaction;inflammatory mediator regulation of trp channels
olanzapine,ADRA1A,7,hsa04020;hsa04022;hsa04080;hsa04152;hsa04261;hsa04270;hsa04970,calcium signaling pathway;cgmp-pkg signaling pathway;neuroactive ligand-receptor interaction;ampk signaling pathway;adrenergic signaling in cardiomyocytes;vascular smooth muscle contraction;salivary secretion
olanzapine,ADRA1B,6,hsa04020;hsa04022;hsa04080;hsa04261;hsa04270;hsa04970,calcium signaling pathway;cgmp-pkg signaling pathway;neuroactive ligand-receptor interaction;adrenergic signaling in cardiomyocytes;vascular smooth muscle contraction;salivary secretion
olanzapine,CHRM1,6,hsa04020;hsa04024;hsa04080;hsa04151;hsa04725;hsa04810,calcium signaling pathway;camp signaling pathway;neuroactive ligand-receptor interaction;pi3k-akt signaling pathway;cholinergic synapse;regulation of actin cytoskeleton
olanzapine,CHRM2,6,hsa04020;hsa04024;hsa04080;hsa04151;hsa04725;hsa04810,calcium signaling pathway;camp signaling pathway;neuroactive ligand-receptor interaction;pi3k-akt signaling pathway;cholinergic synapse;regulation of actin cytoskeleton
olanzapine,CHRM3,9,hsa04020;hsa04080;hsa04725;hsa04742;hsa04810;hsa04911;hsa04970;hsa04971;hsa04972,calcium signaling pathway;neuroactive ligand-receptor interaction;cholinergic synapse;taste transduction;regulation of actin cytoskeleton;insulin secretion;salivary secretion;gastric acid secretion;pancreatic secretion
olanzapine,CHRM4,3,hsa04080;hsa04725;hsa04810,neuroactive ligand-receptor interaction;cholinergic synapse;regulation of actin cytoskeleton
cyclosporin a,CAMLG,0,,
cyclosporin a,PPP3R2,29,hsa04010;hsa04020;hsa04022;hsa04114;hsa04218;hsa04310;hsa04360;hsa04370;hsa04380;hsa04625;hsa04650;hsa04658;hsa04659;hsa04660;hsa04662;hsa04720;hsa04724;hsa04921;hsa04922;hsa04924;hsa05010;hsa05014;hsa05031;hsa05152;hsa05163;hsa05166;hsa05167;hsa05170;hsa05235,mapk signaling pathway;calcium signaling pathway;cgmp-pkg signaling pathway;oocyte meiosis;cellular senescence;wnt signaling pathway;axon guidance;vegf signaling pathway;osteoclast differentiation;c-type lectin receptor signaling pathway;natural killer cell mediated cytotoxicity;th1 and th2 cell differentiation;th17 cell differentiation;t cell receptor signaling pathway;b cell receptor signaling pathway;long-term potentiation;glutamatergic synapse;oxytocin signaling pathway;glucagon signaling pathway;renin secretion;alzheimer disease;amyotrophic lateral sclerosis ;amphetamine addiction;tuberculosis;human cytomegalovirus infection;human t-cell leukemia virus 1 infection;kaposi sarcoma-associated herpesvirus infection;human immunodeficiency virus 1 infection;pd-l1 expression and pd-1 checkpoint pathway in cancer
cyclosporin a,PPIA,1,hsa04217,necroptosis
cyclosporin a,PPIF,5,hsa04020;hsa04022;hsa05012;hsa05016;hsa05145,calcium signaling pathway;cgmp-pkg signaling pathway;parkinson disease;huntington disease;toxoplasmosis
rosiglitazone,PPARG,9,hsa03320;hsa04152;hsa04211;hsa04380;hsa04714;hsa05016;hsa05200;hsa05202;hsa05216,ppar signaling pathway;ampk signaling pathway;longevity regulating pathway;osteoclast differentiation;thermogenesis;huntington disease;pathways in cancer;transcriptional misregulation in cancer;thyroid cancer
rosiglitazone,ACSL4,9,hsa00061;hsa00071;hsa01100;hsa01212;hsa03320;hsa04146;hsa04216;hsa04714;hsa04920,fatty acid biosynthesis;fatty acid degradation;metabolic pathways;fatty acid metabolism;ppar signaling pathway;peroxisome;ferroptosis;thermogenesis;adipocytokine signaling pathway
rosiglitazone,PPARA,7,hsa03320;hsa04024;hsa04920;hsa04922;hsa04931;hsa04932;hsa05160,ppar signaling pathway;camp signaling pathway;adipocytokine signaling pathway;glucagon signaling pathway;insulin resistance;non-alcoholic fatty liver disease ;hepatitis c
rosiglitazone,PPARD,4,hsa03320;hsa04310;hsa05200;hsa05221,ppar signaling pathway;wnt signaling pathway;pathways in cancer;acute myeloid leukemia
rosiglitazone,RXRA,15,hsa03320;hsa04151;hsa04659;hsa04919;hsa04920;hsa04928;hsa04932;hsa04976;hsa05160;hsa05200;hsa05202;hsa05216;hsa05222;hsa05223;hsa05226,"ppar signaling pathway;pi3k-akt signaling pathway;th17 cell differentiation;thyroid hormone signaling pathway;adipocytokine signaling pathway;parathyroid hormone synthesis, secretion and action;non-alcoholic fatty liver disease ;bile secretion;hepatitis c;pathways in cancer;transcriptional misregulation in cancer;thyroid cancer;small cell lung cancer;non-small cell lung cancer;gastric cancer"
rosiglitazone,RXRB,11,hsa03320;hsa04659;hsa04919;hsa04920;hsa04928;hsa05200;hsa05202;hsa05216;hsa05222;hsa05223;hsa05226,"ppar signaling pathway;th17 cell differentiation;thyroid hormone signaling pathway;adipocytokine signaling pathway;parathyroid hormone synthesis, secretion and action;pathways in cancer;transcriptional misregulation in cancer;thyroid cancer;small cell lung cancer;non-small cell lung cancer;gastric cancer"
rosiglitazone,RXRG,11,hsa03320;hsa04659;hsa04919;hsa04920;hsa04928;hsa05200;hsa05202;hsa05216;hsa05222;hsa05223;hsa05226,"ppar signaling pathway;th17 cell differentiation;thyroid hormone signaling pathway;adipocytokine signaling pathway;parathyroid hormone synthesis, secretion and action;pathways in cancer;transcriptional misregulation in cancer;thyroid cancer;small cell lung cancer;non-small cell lung cancer;gastric cancer"
bosutinib,BCR,2,hsa05200;hsa05220,pathways in cancer;chronic myeloid leukemia
bosutinib,ABL1,11,hsa04012;hsa04014;hsa04110;hsa04360;hsa04722;hsa05130;hsa05131;hsa05200;hsa05206;hsa05220;hsa05416,erbb signaling pathway;ras signaling pathway;cell cycle;axon guidance;neurotrophin signaling pathway;pathogenic escherichia coli infection;shigellosis;pathways in cancer;micrornas in cancer;chronic myeloid leukemia;viral myocarditis
bosutinib,LYN,12,hsa04062;hsa04064;hsa04611;hsa04662;hsa04664;hsa04666;hsa04730;hsa05120;hsa05130;hsa05167;hsa05169;hsa05203,chemokine signaling pathway;nf-kappa b signaling pathway;platelet activation;b cell receptor signaling pathway;fc epsilon ri signaling pathway;fc gamma r-mediated phagocytosis;long-term depression;epithelial cell signaling in helicobacter pylori infection;pathogenic escherichia coli infection;kaposi sarcoma-associated herpesvirus infection;epstein-barr virus infection;viral carcinogenesis
bosutinib,HCK,4,hsa04062;hsa04666;hsa05130;hsa05167,chemokine signaling pathway;fc gamma r-mediated phagocytosis;pathogenic escherichia coli infection;kaposi sarcoma-associated herpesvirus infection
bosutinib,SRC,37,hsa01521;hsa01522;hsa04012;hsa04015;hsa04062;hsa04137;hsa04144;hsa04360;hsa04370;hsa04510;hsa04520;hsa04530;hsa04540;hsa04611;hsa04625;hsa04727;hsa04750;hsa04810;hsa04912;hsa04915;hsa04917;hsa04919;hsa04921;hsa04926;hsa05100;hsa05120;hsa05131;hsa05135;hsa05152;hsa05161;hsa05163;hsa05167;hsa05168;hsa05203;hsa05205;hsa05219;hsa05418,egfr tyrosine kinase inhibitor resistance;endocrine resistance;erbb signaling pathway;rap1 signaling pathway;chemokine signaling pathway;mitophagy - animal;endocytosis;axon guidance;vegf signaling pathway;focal adhesion;adherens junction;tight junction;gap junction;platelet activation;c-type lectin receptor signaling pathway;gabaergic synapse;inflammatory mediator regulation of trp channels;regulation of actin cytoskeleton;gnrh signaling pathway;estrogen signaling pathway;prolactin signaling pathway;thyroid hormone signaling pathway;oxytocin signaling pathway;relaxin signaling pathway;bacterial invasion of epithelial cells;epithelial cell signaling in helicobacter pylori infection;shigellosis;yersinia infection;tuberculosis;hepatitis b;human cytomegalovirus infection;kaposi sarcoma-associated herpesvirus infection;herpes simplex virus 1 infection;viral carcinogenesis;proteoglycans in cancer;bladder cancer;fluid shear stress and atherosclerosis
bosutinib,CDK2,19,hsa04068;hsa04110;hsa04114;hsa04115;hsa04151;hsa04218;hsa04914;hsa04934;hsa05160;hsa05161;hsa05162;hsa05165;hsa05166;hsa05169;hsa05200;hsa05203;hsa05215;hsa05222;hsa05226,foxo signaling pathway;cell cycle;oocyte meiosis;p53 signaling pathway;pi3k-akt signaling pathway;cellular senescence;progesterone-mediated oocyte maturation;cushing syndrome;hepatitis c;hepatitis b;measles;human papillomavirus infection;human t-cell leukemia virus 1 infection;epstein-barr virus infection;pathways in cancer;viral carcinogenesis;prostate cancer;small cell lung cancer;gastric cancer
bosutinib,MAP2K1,84,hsa01521;hsa01522;hsa04010;hsa04012;hsa04014;hsa04015;hsa04022;hsa04024;hsa04062;hsa04066;hsa04068;hsa04071;hsa04072;hsa04114;hsa04140;hsa04150;hsa04151;hsa04210;hsa04218;hsa04270;hsa04370;hsa04371;hsa04380;hsa04510;hsa04540;hsa04550;hsa04620;hsa04650;hsa04660;hsa04662;hsa04664;hsa04666;hsa04668;hsa04720;hsa04722;hsa04725;hsa04726;hsa04730;hsa04810;hsa04910;hsa04912;hsa04914;hsa04915;hsa04916;hsa04917;hsa04919;hsa04921;hsa04926;hsa04928;hsa04929;hsa04934;hsa04935;hsa05020;hsa05034;hsa05135;hsa05160;hsa05161;hsa05163;hsa05164;hsa05165;hsa05166;hsa05167;hsa05170;hsa05200;hsa05205;hsa05206;hsa05210;hsa05211;hsa05212;hsa05213;hsa05214;hsa05215;hsa05216;hsa05218;hsa05219;hsa05220;hsa05221;hsa05223;hsa05224;hsa05225;hsa05226;hsa05230;hsa05231;hsa05235,"egfr tyrosine kinase inhibitor resistance;endocrine resistance;mapk signaling pathway;erbb signaling pathway;ras signaling pathway;rap1 signaling pathway;cgmp-pkg signaling pathway;camp signaling pathway;chemokine signaling pathway;hif-1 signaling pathway;foxo signaling pathway;sphingolipid signaling pathway;phospholipase d signaling pathway;oocyte meiosis;autophagy - animal;mtor signaling pathway;pi3k-akt signaling pathway;apoptosis;cellular senescence;vascular smooth muscle contraction;vegf signaling pathway;apelin signaling pathway;osteoclast differentiation;focal adhesion;gap junction;signaling pathways regulating pluripotency of stem cells;toll-like receptor signaling pathway;natural killer cell mediated cytotoxicity;t cell receptor signaling pathway;b cell receptor signaling pathway;fc epsilon ri signaling pathway;fc gamma r-mediated phagocytosis;tnf signaling pathway;long-term potentiation;neurotrophin signaling pathway;cholinergic synapse;serotonergic synapse;long-term depression;regulation of actin cytoskeleton;insulin signaling pathway;gnrh signaling pathway;progesterone-mediated oocyte maturation;estrogen signaling pathway;melanogenesis;prolactin signaling pathway;thyroid hormone signaling pathway;oxytocin signaling pathway;relaxin signaling pathway;parathyroid hormone synthesis, secretion and action;gnrh secretion;cushing syndrome;growth hormone synthesis, secretion and action;prion diseases;alcoholism;yersinia infection;hepatitis c;hepatitis b;human cytomegalovirus infection;influenza a;human papillomavirus infection;human t-cell leukemia virus 1 infection;kaposi sarcoma-associated herpesvirus infection;human immunodeficiency virus 1 infection;pathways in cancer;proteoglycans in cancer;micrornas in cancer;colorectal cancer;renal cell carcinoma;pancreatic cancer;endometrial cancer;glioma;prostate cancer;thyroid cancer;melanoma;bladder cancer;chronic myeloid leukemia;acute myeloid leukemia;non-small cell lung cancer;breast cancer;hepatocellular carcinoma;gastric cancer;central carbon metabolism in cancer;choline metabolism in cancer;pd-l1 expression and pd-1 checkpoint pathway in cancer"
bosutinib,MAP2K2,72,hsa01521;hsa01522;hsa04010;hsa04012;hsa04014;hsa04015;hsa04022;hsa04024;hsa04066;hsa04068;hsa04071;hsa04072;hsa04140;hsa04150;hsa04151;hsa04210;hsa04218;hsa04270;hsa04370;hsa04371;hsa04540;hsa04550;hsa04620;hsa04650;hsa04660;hsa04662;hsa04664;hsa04720;hsa04722;hsa04730;hsa04810;hsa04910;hsa04912;hsa04915;hsa04916;hsa04917;hsa04919;hsa04921;hsa04926;hsa04929;hsa04934;hsa04935;hsa05020;hsa05135;hsa05160;hsa05161;hsa05163;hsa05164;hsa05165;hsa05166;hsa05167;hsa05170;hsa05200;hsa05205;hsa05206;hsa05210;hsa05211;hsa05213;hsa05214;hsa05215;hsa05216;hsa05218;hsa05219;hsa05220;hsa05221;hsa05223;hsa05224;hsa05225;hsa05226;hsa05230;hsa05231;hsa05235,"egfr tyrosine kinase inhibitor resistance;endocrine resistance;mapk signaling pathway;erbb signaling pathway;ras signaling pathway;rap1 signaling pathway;cgmp-pkg signaling pathway;camp signaling pathway;hif-1 signaling pathway;foxo signaling pathway;sphingolipid signaling pathway;phospholipase d signaling pathway;autophagy - animal;mtor signaling pathway;pi3k-akt signaling pathway;apoptosis;cellular senescence;vascular smooth muscle contraction;vegf signaling pathway;apelin signaling pathway;gap junction;signaling pathways regulating pluripotency of stem cells;toll-like receptor signaling pathway;natural killer cell mediated cytotoxicity;t cell receptor signaling pathway;b cell receptor signaling pathway;fc epsilon ri signaling pathway;long-term potentiation;neurotrophin signaling pathway;long-term depression;regulation of actin cytoskeleton;insulin signaling pathway;gnrh signaling pathway;estrogen signaling pathway;melanogenesis;prolactin signaling pathway;thyroid hormone signaling pathway;oxytocin signaling pathway;relaxin signaling pathway;gnrh secretion;cushing syndrome;growth hormone synthesis, secretion and action;prion diseases;yersinia infection;hepatitis c;hepatitis b;human cytomegalovirus infection;influenza a;human papillomavirus infection;human t-cell leukemia virus 1 infection;kaposi sarcoma-associated herpesvirus infection;human immunodeficiency virus 1 infection;pathways in cancer;proteoglycans in cancer;micrornas in cancer;colorectal cancer;renal cell carcinoma;endometrial cancer;glioma;prostate cancer;thyroid cancer;melanoma;bladder cancer;chronic myeloid leukemia;acute myeloid leukemia;non-small cell lung cancer;breast cancer;hepatocellular carcinoma;gastric cancer;central carbon metabolism in cancer;choline metabolism in cancer;pd-l1 expression and pd-1 checkpoint pathway in cancer"
bosutinib,MAP3K2,3,hsa04010;hsa04540;hsa04912,mapk signaling pathway;gap junction;gnrh signaling pathway
bosutinib,CAMK2G,29,hsa04012;hsa04020;hsa04024;hsa04066;hsa04114;hsa04217;hsa04261;hsa04310;hsa04360;hsa04713;hsa04720;hsa04722;hsa04725;hsa04728;hsa04740;hsa04750;hsa04911;hsa04912;hsa04916;hsa04921;hsa04922;hsa04925;hsa04934;hsa04971;hsa05031;hsa05152;hsa05200;hsa05205;hsa05214,erbb signaling pathway;calcium signaling pathway;camp signaling pathway;hif-1 signaling pathway;oocyte meiosis;necroptosis;adrenergic signaling in cardiomyocytes;wnt signaling pathway;axon guidance;circadian entrainment;long-term potentiation;neurotrophin signaling pathway;cholinergic synapse;dopaminergic synapse;olfactory transduction;inflammatory mediator regulation of trp channels;insulin secretion;gnrh signaling pathway;melanogenesis;oxytocin signaling pathway;glucagon signaling pathway;aldosterone synthesis and secretion;cushing syndrome;gastric acid secretion;amphetamine addiction;tuberculosis;pathways in cancer;proteoglycans in cancer;glioma
zinc acetate,F2,7,hsa04072;hsa04080;hsa04610;hsa04611;hsa04810;hsa05130;hsa05200,phospholipase d signaling pathway;neuroactive ligand-receptor interaction;complement and coagulation cascades;platelet activation;regulation of actin cytoskeleton;pathogenic escherichia coli infection;pathways in cancer
zinc acetate,MMP9,14,hsa01522;hsa04657;hsa04668;hsa04670;hsa04915;hsa04926;hsa05161;hsa05200;hsa05202;hsa05205;hsa05206;hsa05215;hsa05219;hsa05418,endocrine resistance;il-17 signaling pathway;tnf signaling pathway;leukocyte transendothelial migration;estrogen signaling pathway;relaxin signaling pathway;hepatitis b;pathways in cancer;transcriptional misregulation in cancer;proteoglycans in cancer;micrornas in cancer;prostate cancer;bladder cancer;fluid shear stress and atherosclerosis
zinc acetate,ESR1,8,hsa01522;hsa04915;hsa04917;hsa04919;hsa04961;hsa05200;hsa05205;hsa05224,endocrine resistance;estrogen signaling pathway;prolactin signaling pathway;thyroid hormone signaling pathway;endocrine and other factor-regulated calcium reabsorption;pathways in cancer;proteoglycans in cancer;breast cancer
zinc acetate,IL3,10,hsa04060;hsa04151;hsa04210;hsa04630;hsa04640;hsa04664;hsa05200;hsa05202;hsa05221;hsa05310,cytokine-cytokine receptor interaction;pi3k-akt signaling pathway;apoptosis;jak-stat signaling pathway;hematopoietic cell lineage;fc epsilon ri signaling pathway;pathways in cancer;transcriptional misregulation in cancer;acute myeloid leukemia;asthma
zinc acetate,HBA1,2,hsa05143;hsa05144,african trypanosomiasis;malaria
zinc acetate,ASPA,3,hsa00250;hsa00340;hsa01100,"alanine, aspartate and glutamate metabolism;histidine metabolism;metabolic pathways"
zinc acetate,SERPINA6,0,,
zinc acetate,TTR,1,hsa04918,thyroid hormone synthesis
zinc acetate,GLRA1,1,hsa04080,neuroactive ligand-receptor interaction
zinc acetate,TF,3,hsa04066;hsa04216;hsa04978,hif-1 signaling pathway;ferroptosis;mineral absorption
zinc acetate,FGA,2,hsa04610;hsa04611,complement and coagulation cascades;platelet activation
zinc acetate,HBB,2,hsa05143;hsa05144,african trypanosomiasis;malaria
zinc acetate,SHBG,0,,
zinc acetate,GAPDHS,2,hsa00010;hsa01100,glycolysis / gluconeogenesis;metabolic pathways
zinc acetate,SERPIND1,1,hsa04610,complement and coagulation cascades
zinc acetate,C5,7,hsa04080;hsa04610;hsa05020;hsa05133;hsa05150;hsa05168;hsa05322,neuroactive ligand-receptor interaction;complement and coagulation cascades;prion diseases;pertussis;staphylococcus aureus infection;herpes simplex virus 1 infection;systemic lupus erythematosus
zinc acetate,A2M,1,hsa04610,complement and coagulation cascades
zinc acetate,APOA2,2,hsa03320;hsa04979,ppar signaling pathway;cholesterol metabolism
zinc acetate,PON1,0,,
zinc acetate,SERPINA1,1,hsa04610,complement and coagulation cascades
zinc acetate,MDM2,25,hsa01522;hsa01524;hsa04068;hsa04110;hsa04115;hsa04120;hsa04144;hsa04151;hsa04218;hsa04625;hsa04919;hsa05131;hsa05163;hsa05165;hsa05169;hsa05200;hsa05202;hsa05203;hsa05205;hsa05206;hsa05214;hsa05215;hsa05218;hsa05219;hsa05220,endocrine resistance;platinum drug resistance;foxo signaling pathway;cell cycle;p53 signaling pathway;ubiquitin mediated proteolysis;endocytosis;pi3k-akt signaling pathway;cellular senescence;c-type lectin receptor signaling pathway;thyroid hormone signaling pathway;shigellosis;human cytomegalovirus infection;human papillomavirus infection;epstein-barr virus infection;pathways in cancer;transcriptional misregulation in cancer;viral carcinogenesis;proteoglycans in cancer;micrornas in cancer;glioma;prostate cancer;melanoma;bladder cancer;chronic myeloid leukemia
zinc acetate,KNG1,9,hsa04022;hsa04071;hsa04080;hsa04610;hsa04750;hsa04810;hsa05142;hsa05143;hsa05200,cgmp-pkg signaling pathway;sphingolipid signaling pathway;neuroactive ligand-receptor interaction;complement and coagulation cascades;inflammatory mediator regulation of trp channels;regulation of actin cytoskeleton;chagas disease ;african trypanosomiasis;pathways in cancer
zinc acetate,AGT,14,hsa04072;hsa04080;hsa04261;hsa04270;hsa04614;hsa04924;hsa04925;hsa04927;hsa04931;hsa04933;hsa04934;hsa05200;hsa05410;hsa05414,phospholipase d signaling pathway;neuroactive ligand-receptor interaction;adrenergic signaling in cardiomyocytes;vascular smooth muscle contraction;renin-angiotensin system;renin secretion;aldosterone synthesis and secretion;cortisol synthesis and secretion;insulin resistance;age-rage signaling pathway in diabetic complications;cushing syndrome;pathways in cancer;hypertrophic cardiomyopathy ;dilated cardiomyopathy 
zinc acetate,VTN,6,hsa04151;hsa04510;hsa04512;hsa04610;hsa05165;hsa05205,pi3k-akt signaling pathway;focal adhesion;ecm-receptor interaction;complement and coagulation cascades;human papillomavirus infection;proteoglycans in cancer
zinc acetate,APOE,2,hsa04979;hsa05010,cholesterol metabolism;alzheimer disease
zinc acetate,CP,2,hsa00860;hsa04216,porphyrin and chlorophyll metabolism;ferroptosis
zinc acetate,MGMT,0,,
zinc acetate,FN1,12,hsa04151;hsa04510;hsa04512;hsa04810;hsa04933;hsa05100;hsa05135;hsa05146;hsa05165;hsa05200;hsa05205;hsa05222,pi3k-akt signaling pathway;focal adhesion;ecm-receptor interaction;regulation of actin cytoskeleton;age-rage signaling pathway in diabetic complications;bacterial invasion of epithelial cells;yersinia infection;amoebiasis;human papillomavirus infection;pathways in cancer;proteoglycans in cancer;small cell lung cancer
zinc acetate,APCS,0,,
zinc acetate,C1S,4,hsa04610;hsa05133;hsa05150;hsa05322,complement and coagulation cascades;pertussis;staphylococcus aureus infection;systemic lupus erythematosus
zinc acetate,HDAC8,2,hsa05034;hsa05203,alcoholism;viral carcinogenesis
zinc acetate,ALDOA,7,hsa00010;hsa00030;hsa00051;hsa01100;hsa01200;hsa01230;hsa04066,glycolysis / gluconeogenesis;pentose phosphate pathway;fructose and mannose metabolism;metabolic pathways;carbon metabolism;biosynthesis of amino acids;hif-1 signaling pathway
zinc acetate,CFB,2,hsa04610;hsa05150,complement and coagulation cascades;staphylococcus aureus infection
zinc acetate,PARP1,4,hsa03410;hsa04064;hsa04210;hsa04217,base excision repair;nf-kappa b signaling pathway;apoptosis;necroptosis
zinc acetate,C1R,5,hsa04145;hsa04610;hsa05133;hsa05150;hsa05322,phagosome;complement and coagulation cascades;pertussis;staphylococcus aureus infection;systemic lupus erythematosus
zinc acetate,C1QB,6,hsa04610;hsa05020;hsa05133;hsa05142;hsa05150;hsa05322,complement and coagulation cascades;prion diseases;pertussis;chagas disease ;staphylococcus aureus infection;systemic lupus erythematosus
zinc acetate,C1QC,6,hsa04610;hsa05020;hsa05133;hsa05142;hsa05150;hsa05322,complement and coagulation cascades;prion diseases;pertussis;chagas disease ;staphylococcus aureus infection;systemic lupus erythematosus
zinc acetate,HDAC1,14,hsa04110;hsa04213;hsa04330;hsa04919;hsa05016;hsa05031;hsa05034;hsa05165;hsa05169;hsa05200;hsa05202;hsa05203;hsa05206;hsa05220,cell cycle;longevity regulating pathway - multiple species;notch signaling pathway;thyroid hormone signaling pathway;huntington disease;amphetamine addiction;alcoholism;human papillomavirus infection;epstein-barr virus infection;pathways in cancer;transcriptional misregulation in cancer;viral carcinogenesis;micrornas in cancer;chronic myeloid leukemia
zinc acetate,SOD1,5,hsa04146;hsa04213;hsa05014;hsa05016;hsa05020,peroxisome;longevity regulating pathway - multiple species;amyotrophic lateral sclerosis ;huntington disease;prion diseases
zinc acetate,KLKB1,1,hsa04610,complement and coagulation cascades
zinc acetate,P4HB,1,hsa04141,protein processing in endoplasmic reticulum
